,r2
72,"[0.20445567086793337, 0.1624049979187835, 0.1836978615998459, 0.10852394017708411, 0.13059706556219552, 0.18555097956977118, 0.23916379169421742, 0.11265358414413362, 0.1721540756043718, 0.174064203561344]"
73,"[0.15505688380685678, 0.17913395495785844, 0.17329307601965227, 0.18489450631345283, 0.18988122166829213, 0.1121500336782354, 0.16162720804226915, 0.2401411414779938, 0.1309517975538329, 0.19591108919749178]"
74,"[0.15089661129708032, 0.1879697874175722, 0.1369972566121932, 0.20151034993855166, 0.17641791080772062, 0.12876173221581277, 0.20972401546178387, 0.1826054353130232, 0.1458940586543408, 0.18632352800904095]"
75,"[0.10529580816573048, 0.16239558515794883, 0.21627569517007772, 0.15187265642353132, 0.19120459329827044, 0.16203237035952112, 0.19244633752352658, 0.2088116108157978, 0.13449269999992564, 0.18715230185679377]"
76,"[0.13427290356863486, 0.17359689076213736, 0.14023042021902565, 0.20153744441686305, 0.23457261479663527, 0.1522956517666204, 0.17477899381233764, 0.19238065862274734, 0.13191514912191704, 0.1505670186005209]"
77,"[0.1963440108778315, 0.19239272879157943, 0.17031752710531556, 0.13068722021716395, 0.21130950932456116, 0.2106697744578616, 0.21857406695198744, 0.1524375491294253, 0.11803003914828913, 0.10373042978969427]"
78,"[0.18590462770172367, 0.22039433050595358, 0.20067733264115695, 0.16608921029446833, 0.17752745128698866, 0.2120762480661884, 0.16658076801543198, 0.10873359179153808, 0.1169473932003624, 0.14229736818018668]"
79,"[0.1607000199640649, 0.15650661583108738, 0.16322959680609261, 0.12506656586733933, 0.2477475529873585, 0.2062387186949337, 0.15038004838944075, 0.15499526275274533, 0.14448891727055868, 0.2048768514785112]"
80,"[0.12998962830107996, 0.2031562999271539, 0.1495656455356411, 0.19799791752735496, 0.14050216095476098, 0.1552231976515146, 0.2057367102682247, 0.24067961028263096, 0.11148984380824789, 0.1776433030990504]"
81,"[0.2071217657265706, 0.14317494324750146, 0.1848302033428696, 0.24343313578670334, 0.18147683187496155, 0.18541794013891244, 0.16565304579559104, 0.11577712478534596, 0.15198330974872287, 0.14339882732975562]"
82,"[0.18192899711273047, 0.12101906668084361, 0.23844944499676857, 0.16523642777835967, 0.1663222388416934, 0.22629913619784603, 0.16545515879369954, 0.07060355751997105, 0.15548336423572628, 0.19812464735015545]"
83,"[0.1938505488477974, 0.1559603307410422, 0.11711121601606933, 0.21126686809975626, 0.20241213170661898, 0.19869606176611543, 0.19061946544365616, 0.11303793300705345, 0.16652265080123052, 0.16084806136210628]"
84,"[0.2150711635737248, 0.15977430996550457, 0.18452569485084835, 0.18745089695168926, 0.11793833092197559, 0.1801761784978032, 0.21372286156240605, 0.13486456794125157, 0.14211495598726354, 0.1598153188815623]"
85,"[0.14494077960217178, 0.22399723305106056, 0.16716712279927748, 0.1765525027734548, 0.2085832237925307, 0.17251483839614778, 0.13649721717964347, 0.16964945061333003, 0.20927900386091125, 0.11432886595446767]"
86,"[0.1335384756358322, 0.16337358529405965, 0.12087077530547496, 0.2175514378517014, 0.16401991812275274, 0.19008594999291295, 0.11378849913115152, 0.21317098004828683, 0.2148832744635295, 0.1720573482936325]"
87,"[0.18968211183267636, 0.1445543713915085, 0.16302671306523553, 0.1505254186622943, 0.18610168780535075, 0.2838671330174607, 0.1264136771181429, 0.12469725652348607, 0.17432782188717943, 0.15800116496862482]"
88,"[0.1848273819964581, 0.12065449957671326, 0.157753409247106, 0.19823538814664743, 0.1540571254483576, 0.1878948671286803, 0.2105193086262246, 0.20067685669992252, 0.12310893667249023, 0.1693323486376519]"
89,"[0.07586925732825855, 0.18876357181489511, 0.16987071352973937, 0.15063403894292315, 0.17736007240365514, 0.1797683838578754, 0.18171419510819842, 0.22137669595988152, 0.17953652513889162, 0.18347149089974357]"
90,"[0.1233407058512006, 0.1680389634069066, 0.1600765653556543, 0.16482577684905741, 0.20192634030840628, 0.12563035237039055, 0.2006845296994041, 0.18119303342246074, 0.18664634100093813, 0.21063291564629116]"
91,"[0.14834848747794882, 0.16581056260465088, 0.13695404133107492, 0.15924650622932635, 0.19187672075427797, 0.269021134312484, 0.18197488425005504, 0.17925391651376887, 0.09447107526856413, 0.16949838218801527]"
92,"[0.1917040980327568, 0.2438396407275758, 0.05676593496543292, 0.1628142565656514, 0.20072453834165072, 0.1783081199256754, 0.12542903470297684, 0.0642689706816919, 0.2199656139449, 0.24145103374785581]"
93,"[0.14039431360015797, 0.15246164791710182, 0.20280879774951344, 0.1962505457398912, 0.12257409129057883, 0.17845344894150872, 0.1537251478396645, 0.12820721267925128, 0.2050659835597517, 0.23957399226110887]"
94,"[0.17023877713500657, 0.21714032092100177, 0.08254712765902461, 0.18474557052021467, 0.18341937509085704, 0.1987477308265152, 0.18184567825825548, 0.19138898462167075, 0.1300347104290529, 0.15254634910161835]"
95,"[0.2691030483875607, 0.1766670433324098, 0.1317135978173738, 0.159260982011178, 0.09925590936155249, 0.1713201549811606, 0.2028968522569674, 0.18191289575265068, 0.14566749055638162, 0.153387354294518]"
96,"[0.18581242534929499, 0.10476955444357972, 0.16985635375823183, 0.20947753441769923, 0.19033685869858885, 0.11179215659544972, 0.19148502843535897, 0.21768567201626843, 0.1793995665618816, 0.14128558198565366]"
97,"[0.19642423226615047, 0.1363901553304815, 0.1513723946896267, 0.16359070377236806, 0.17077725365097074, 0.1565838244675447, 0.13295000765256793, 0.2052820585516566, 0.17828821572848352, 0.19783008876514385]"
98,"[0.17171603426394744, 0.1666952780583023, 0.20713556565696623, 0.20985609410227835, 0.19474566516810055, 0.20753432695940033, 0.14730978878533885, 0.1871613341772118, 0.0877305810382154, 0.15006514302052176]"
99,"[0.11398435453278344, 0.1716248579921099, 0.21368685777128293, 0.2129423630553181, 0.2010285594220188, 0.20594418812977988, 0.1834201973620605, 0.13053752130707963, 0.12707828763027862, 0.18257310603269494]"
100,"[0.19808087026621224, 0.17859725089855916, 0.06719485902889388, 0.25517097562927593, 0.19040975497720547, 0.1549082086468413, 0.16719988571293176, 0.16755145417947692, 0.17252071385144185, 0.17142581404813106]"
101,"[0.1879324475917742, 0.1682717768219424, 0.13999340831242113, 0.22648501238119123, 0.13283859012462518, 0.1759825450017254, 0.17093713821350232, 0.2139427594261063, 0.16623587902896186, 0.1404079371790733]"
102,"[0.14905744045434144, 0.1401083560837365, 0.2460134366184662, 0.16791096323415544, 0.17417042464958254, 0.20204558017767194, 0.14364004868454983, 0.1522876145160844, 0.17082632814727094, 0.17311087315749485]"
103,"[0.1975576569832388, 0.19879258172893732, 0.24934439135981923, 0.18611544525237234, 0.077946207834792, 0.1321633975783133, 0.18506885645952387, 0.15255837833111596, 0.23347774119440046, 0.10282101204993843]"
104,"[0.12642133134929134, 0.17277095290682343, 0.15158724053334116, 0.17878306669528066, 0.16916436009500124, 0.14355733860674702, 0.14563961351736554, 0.1912125386742749, 0.18219718404052865, 0.2312172082178252]"
105,"[0.22287814880696688, 0.1736181265489566, 0.14108978025005114, 0.15984269772937154, 0.15378946548465433, 0.11479326718746785, 0.2529318711311922, 0.16816498551347003, 0.1549644049056873, 0.15947843747534696]"
106,"[0.21205134910894796, 0.18003729485891973, 0.1879831944979392, 0.15342245119386633, 0.17660899961265497, 0.15680050631194287, 0.1370087596307682, 0.21774136382505382, 0.14262417277051798, 0.14193683134105983]"
107,"[0.1895864479584718, 0.18887704759342416, 0.24192406452280069, 0.11312997124463031, 0.14230084774341734, 0.1694704544814163, 0.0902719362083374, 0.1547795964552524, 0.16294917453513513, 0.2438021267533793]"
108,"[0.15970021368855758, 0.18764897023696414, 0.1566059904957614, 0.15877247492894997, 0.1697402862485352, 0.12097589715577506, 0.20730838166783305, 0.17004023397679668, 0.14350680217166745, 0.2276584696528885]"
109,"[0.20668945512663928, 0.23096750991987713, 0.16960900700821513, 0.19710501805532155, 0.16804247093707458, 0.15726926916998774, 0.12205295026787377, 0.14377464457195832, 0.15341028858240557, 0.15395240981108105]"
110,"[0.1586071201505468, 0.11545283571642662, 0.15579265394518815, 0.1986334930316176, 0.19684436361426794, 0.19524002160863785, 0.10034599196807636, 0.1678819890390265, 0.205041450734197, 0.19684705427401916]"
111,"[0.2241227079424647, 0.18093811103343793, 0.12963520869534295, 0.14056095137588076, 0.16775201673120121, 0.18588469176654177, 0.21659767728302026, 0.16903495391902434, 0.17749268066824064, 0.10486429802768749]"
112,"[0.16969087580789388, 0.21732274267574303, 0.17132793725309214, 0.11755260002207191, 0.1721920182761042, 0.1659670624206746, 0.2527398827874072, 0.11506087533223941, 0.17277252755964012, 0.13760020559198183]"
113,"[0.17925588369891532, 0.17420094168571187, 0.13280606576210174, 0.2213386413364179, 0.13133090275732395, 0.19014348199832476, 0.14197477596838826, 0.1771092354706194, 0.18652446844000092, 0.16641555979568512]"
114,"[0.14446968796274406, 0.17475628206070748, 0.17275030702084004, 0.18461372954040678, 0.22350722017629243, 0.1442156918750408, 0.20272358236200705, 0.15060277269262623, 0.1808734165766389, 0.13435018895717998]"
115,"[0.18759072477782734, 0.19201112927472286, 0.12810334405280688, 0.10714654307278548, 0.1619069928304281, 0.1852792724865715, 0.14437974313068047, 0.20463671471412737, 0.1579975287111357, 0.20366800270437246]"
