,imv
62,"[0.1543400030332126, 0.10998445276204202, 0.13991541226432108, 0.10131571782705542, 0.14148877921691316, 0.10211253962335252, 0.10791098881483077, 0.13620139444239995, 0.07341527923723029, 0.11853652925576096]"
63,"[0.11476302754391712, 0.09953946748076561, 0.09768447274987259, 0.1351188847390389, 0.13959156858899496, 0.08046945348466979, 0.12529331015741985, 0.13111867918084896, 0.13735146072585824, 0.13471228070499847]"
64,"[0.14554851003393104, 0.14269883060299765, 0.07758527610776075, 0.05409110663132466, 0.10355029109263231, 0.10884015419061871, 0.13405262339426813, 0.12555440944187182, 0.163219249006196, 0.13106297995570063]"
65,"[0.12598626135090377, 0.11457277454113494, 0.10475272089840583, 0.11054333818009116, 0.13531312255688138, 0.11175245485261047, 0.14037542336608838, 0.12101823976223978, 0.10597429028085639, 0.13281687208510762]"
66,"[0.11431055015698942, 0.11241544088978489, 0.1471037816028509, 0.13645290611548958, 0.15433333936660276, 0.03861466262082038, 0.11316430631747128, 0.13818854470503303, 0.09164802249976192, 0.1305127973648515]"
67,"[0.10517127952945607, 0.13841754562162023, 0.1389934965775167, 0.14365135690469694, 0.11993157779781653, 0.07878498151906262, 0.09029544768226766, 0.1297546961661024, 0.12629711837135596, 0.1211312054099596]"
68,"[0.11717341787572193, 0.10978216932171782, 0.129719428722098, 0.12358195968647134, 0.12954415095363073, 0.13850381281137383, 0.1335310113256454, 0.12754849825810774, 0.10619364201342794, 0.07895480946892265]"
69,"[0.17092693249970653, 0.09741511077299726, 0.11834353781728973, 0.14336845060266845, 0.10736672719580977, 0.10000398084803239, 0.06703736304438913, 0.1553447794380806, 0.10960184978860743, 0.11212938822414438]"
70,"[0.12930675983820558, 0.09775262264788458, 0.1103198930347646, 0.10096930389155792, 0.16571845357249762, 0.12487478850749233, 0.12932592319844713, 0.09573326122702305, 0.07421015600582542, 0.15657765656532835]"
71,"[0.12441104144018801, 0.1472441475680405, 0.10918984415924918, 0.10331378891749832, 0.12391277661406586, 0.1255519641115468, 0.1084787184150651, 0.13089355362728872, 0.10934693181408808, 0.11403756781174113]"
72,"[0.11936315488862985, 0.08863350594820095, 0.11564540799128319, 0.15899127155147788, 0.12475744226356945, 0.11323614303870658, 0.11198999070754745, 0.1084296670130218, 0.15160170387729227, 0.09297148387815844]"
73,"[0.10778652752476427, 0.14218485809532214, 0.1201074360630809, 0.11828405545661462, 0.14119647492276857, 0.10173502015281007, 0.15631365010778644, 0.08925123800065396, 0.09741141956081394, 0.11499615010118855]"
74,"[0.0878258356846681, 0.1479722552236444, 0.10327166831530127, 0.10086405944069837, 0.12484413407111027, 0.16687833165508184, 0.10466459749077354, 0.09739393660639308, 0.13322462469815097, 0.12064420058012593]"
75,"[0.12160587796507717, 0.10822230202861845, 0.14175363936274923, 0.15681716943088564, 0.1310907916161777, 0.07394885094284324, 0.11172874816442278, 0.13230241683167188, 0.09654835340882185, 0.11722907483833513]"
76,"[0.07969386491098898, 0.11715676564913706, 0.12753718399602762, 0.12336696277523386, 0.12319172717873822, 0.14490428179073514, 0.11499230568414262, 0.12471834580919863, 0.1190017243643555, 0.11830223932300682]"
77,"[0.10886161220142472, 0.09167698958088048, 0.1157689836366101, 0.13626160246216606, 0.11228504355437456, 0.1310253943237945, 0.1331419573541267, 0.12409137760166784, 0.1339389048188838, 0.11445120098157706]"
78,"[0.09932403696813605, 0.06821499851918345, 0.14574553790748512, 0.13510567164947654, 0.10050777729664158, 0.12280556339515844, 0.14228874081202228, 0.1347812462929497, 0.13109133343456492, 0.1091907986680899]"
79,"[0.13973817313774536, 0.07924226277953936, 0.14905598754490895, 0.09527101251615461, 0.15655516741861872, 0.08433914326054905, 0.09860511099514471, 0.10311552812752522, 0.12904050368830278, 0.1377041116828704]"
80,"[0.11403542530765037, 0.11841115513205018, 0.105174443224042, 0.12846975859819307, 0.1077714097717856, 0.12015592996204337, 0.11900634950533744, 0.14003088177329612, 0.12103189927320242, 0.12445742452665409]"
81,"[0.13651300111618295, 0.10666391567237352, 0.12441861327012069, 0.1046696749349241, 0.12487215294088677, 0.12973953762722906, 0.1135341908389738, 0.10633390505798414, 0.14031931940557502, 0.10656603669334665]"
82,"[0.10869373062582767, 0.13120053352578143, 0.06617262089928905, 0.1621341993702937, 0.08213207080782578, 0.13973544562700732, 0.12153615986292474, 0.11742003648775028, 0.11900669393892135, 0.14001566440330526]"
83,"[0.13770810867658742, 0.12500812891535143, 0.12586274003659295, 0.11459113900063918, 0.14260113652092002, 0.1055469513172072, 0.08652692561361308, 0.11203190167268666, 0.13728695043929992, 0.10693996314674262]"
84,"[0.13021536734628203, 0.10259799401213743, 0.11230076205783428, 0.13615243447491235, 0.10708116636066208, 0.14420915295682862, 0.10982918216784694, 0.14377554518041982, 0.10000743411028937, 0.10743706383308198]"
85,"[0.13739292844764067, 0.13392088809320254, 0.10340625419769658, 0.10095570490035324, 0.12099640045976813, 0.1390537723857161, 0.09744492882188242, 0.14712972283841858, 0.1200926332012807, 0.08731294328638814]"
86,"[0.12553952021362405, 0.10139863531495648, 0.15939268029791367, 0.09922157890946907, 0.15061057325380114, 0.12261670730851944, 0.11288411161494853, 0.09169032344290534, 0.11283720021921441, 0.11665284293824243]"
87,"[0.11752444941918934, 0.10868251494320397, 0.15652616835693509, 0.10811991566936445, 0.12914366577933079, 0.09080406211154239, 0.12787427279651842, 0.11406795291090781, 0.12387659851138723, 0.11788936207234627]"
88,"[0.13066969841042447, 0.11088390356680146, 0.12903200529618014, 0.058749804578474035, 0.10889779645425836, 0.14141757348716585, 0.10496925114824136, 0.12380425716666557, 0.14129993773471256, 0.1334557123869001]"
89,"[0.10316483841841467, 0.10569046127147864, 0.1519674513388666, 0.14273032822154763, 0.11104143588436918, 0.16481821051323542, 0.10876237996692041, 0.08255067918046345, 0.10446463134581271, 0.11132237164833503]"
90,"[0.14176089489818836, 0.13867808065129433, 0.08911746314035594, 0.1534931931983321, 0.15468981417416006, 0.139432084893094, 0.09031226797808418, 0.12402452103863588, 0.11399154457603045, 0.0403829192665033]"
91,"[0.14775407890822811, 0.10966476892874084, 0.096913926748747, 0.08357804495173586, 0.13458176601677657, 0.15329192404759368, 0.13174386353188924, 0.12312709151711448, 0.13304160376602847, 0.07352162160187525]"
92,"[0.10454208994436685, 0.1232827267764386, 0.14609463869302958, 0.11762888714785386, 0.09067082028102076, 0.11784654552811183, 0.09860835798880775, 0.1182384461412582, 0.10491519078149293, 0.1699631206277933]"
93,"[0.1381082236109195, 0.08491957158796674, 0.12335859362453026, 0.1195994880741377, 0.13008943587930225, 0.11819264430887964, 0.10535240114539238, 0.13854348670247837, 0.13093476238970095, 0.108640528093806]"
94,"[0.1426252792998092, 0.09541277334438422, 0.08504919081368464, 0.11734062357943115, 0.10630456955083459, 0.1459391219971822, 0.13549906191301916, 0.1214532556224316, 0.1511884014408902, 0.09600933206433179]"
95,"[0.11962096955453186, 0.15318508828116745, 0.12678478801906914, 0.13192924428823186, 0.14363178167784954, 0.09279699016073503, 0.07381524824119548, 0.11920735982201378, 0.07308609808937226, 0.1478693425820226]"
96,"[0.12790160651118487, 0.11685700256130994, 0.07531666135640104, 0.1259406463959089, 0.11384946133810035, 0.11053055077591456, 0.11597979899954841, 0.13764896633349033, 0.1347110804549076, 0.13743122253250653]"
97,"[0.15158824626165693, 0.11658574916090629, 0.1221365557425596, 0.11616296083846944, 0.13262659785511208, 0.100256934307399, 0.1179145524726791, 0.06513186104182954, 0.11936518345056193, 0.14381144947672403]"
98,"[0.14421995283744354, 0.11780366088171955, 0.12710035317273094, 0.11987485149659956, 0.1538959778626873, 0.12691587893759623, 0.06670714954267033, 0.090315923425738, 0.15288308104426004, 0.09383984665721219]"
99,"[0.10193158894761695, 0.1267443910621792, 0.11319353274791442, 0.11884071493242263, 0.12623340530412736, 0.11865250118692966, 0.15287600936611084, 0.1380651222713194, 0.12563089933261407, 0.06303262388456556]"
100,"[0.12489693216791635, 0.11526360017026598, 0.12381283008105214, 0.10125779665110096, 0.07225995638635906, 0.12716797066618524, 0.13891913759408092, 0.15356627618228696, 0.11638661254792239, 0.10933128284374907]"
101,"[0.14610276903824473, 0.11879024124763314, 0.13713497866581606, 0.14151233314620515, 0.09091926262439572, 0.12695433624231545, 0.10429996860907634, 0.09598351411665064, 0.11009421446793892, 0.11675066695060926]"
102,"[0.14438468826660789, 0.10406843583219193, 0.07753511396875522, 0.1336474762451459, 0.13165500800228977, 0.10258551706664931, 0.1524449189486221, 0.09121383884676082, 0.12376849138960014, 0.12450027179944072]"
103,"[0.13961337905291335, 0.14509181320783157, 0.10008311582096081, 0.09126587936391217, 0.10017305150707416, 0.11634231037572233, 0.15190909803565725, 0.11080711315647904, 0.11938272246370248, 0.11959308869842426]"
104,"[0.11617700136213761, 0.11669988866252441, 0.09066530038479338, 0.1256746766668074, 0.13780594846711586, 0.13695752090437258, 0.11411663449891878, 0.1214469090437113, 0.12787649512947866, 0.11116805773017512]"
105,"[0.11443753926540201, 0.13917102399171496, 0.15265747055731532, 0.10763427915449711, 0.13816276985708126, 0.10542776774735685, 0.13813358069683354, 0.05284625531082122, 0.09221698818220947, 0.14207452360448997]"
