,roc_auc
110,"[0.7068992082681459, 0.7279194911523902, 0.737201907790143, 0.7233090185676392, 0.7287530872827253]"
111,"[0.740024833048089, 0.7193254398087626, 0.7341441223554342, 0.7292851363846511, 0.6940823197725895]"
112,"[0.7340615460863492, 0.7075469411008884, 0.7163297550736376, 0.7444661913416283, 0.7121979388770434]"
113,"[0.7254895541932027, 0.7267713447899619, 0.7198780974494795, 0.7170920834484665, 0.7260502859880131]"
114,"[0.7257019683476089, 0.7363476167213343, 0.7485176905132194, 0.7047850955479393, 0.7089685914301824]"
115,"[0.7241570995564606, 0.6898493278543463, 0.7602988784830617, 0.7171903460837887, 0.7264701657617284]"
116,"[0.7270786363325819, 0.7319551921062413, 0.7371085516410719, 0.6904037932802087, 0.7311696476464583]"
117,"[0.6842750257997936, 0.7297466707666106, 0.7243508214096449, 0.7504731155663624, 0.7259843914255679]"
118,"[0.7587320626815739, 0.7060431254459482, 0.7183798583417654, 0.718479844014283, 0.7134892086330934]"
119,"[0.7104706073929328, 0.7725989382239382, 0.7052594163977342, 0.6755818301607932, 0.7568416061063119]"
120,"[0.7253969528704513, 0.6921237733280391, 0.7051474452554745, 0.7387057387057386, 0.7592615384615383]"
121,"[0.7010026677518539, 0.7445094344095197, 0.741972030447867, 0.7370023754328726, 0.6968905472636816]"
122,"[0.7349993967181467, 0.7391866111689213, 0.7179848015761329, 0.7174758976438258, 0.7056013793746214]"
123,"[0.719771071800208, 0.715395799302587, 0.7059673749882728, 0.7396466697609653, 0.7383970695970695]"
124,"[0.7202224105308368, 0.7333846633192327, 0.7348316445126494, 0.7158441484517304, 0.7211124945115093]"
125,"[0.7201545778834721, 0.7378288984688568, 0.7018863167276479, 0.7433823861838239, 0.715824437224414]"
126,"[0.75695468312475, 0.7082408370909933, 0.7117851110038609, 0.7394227106227107, 0.7022124604303345]"
127,"[0.7019859799412514, 0.76154545130599, 0.7100250293485725, 0.7172741212550129, 0.7257877280265339]"
128,"[0.7300542349411493, 0.7109645616839861, 0.7083928462430569, 0.7086881657668174, 0.7604180182213071]"
129,"[0.703140083062072, 0.7233292866227309, 0.7225440610278117, 0.7526682094501244, 0.716312696608263]"
130,"[0.7270094994519548, 0.7372567803221513, 0.7086569343065692, 0.7154361770184049, 0.732910119348669]"
131,"[0.7037587412587412, 0.7521271768109364, 0.7115477595997075, 0.7348193167869225, 0.7136301291230868]"
132,"[0.7108963874271085, 0.7411705316882216, 0.7265573113477615, 0.7195994855142263, 0.7265189520624303]"
133,"[0.727333889580934, 0.7173454738650751, 0.6895402257051773, 0.7441589799711641, 0.7346729068803536]"
134,"[0.7313196300588973, 0.7232967032967033, 0.6968207046332046, 0.7460495418351314, 0.7280726248505194]"
135,"[0.7349295571649912, 0.695256871821247, 0.715885756424074, 0.7170686618183086, 0.7600450130300876]"
136,"[0.7420847963377952, 0.7400438061123216, 0.7273737270412803, 0.689726867335563, 0.7268041560134356]"
137,"[0.7046539309503704, 0.7329049220283902, 0.7314659721903538, 0.7534176692616184, 0.695389359600012]"
138,"[0.7236264101966786, 0.7593283582089553, 0.702720801158301, 0.7353846153846154, 0.695825597586447]"
139,"[0.713797380373171, 0.6954992841803865, 0.7444034123439827, 0.7197796041390052, 0.7435311355311355]"
140,"[0.7518417936280203, 0.7232415095224692, 0.7049577784611017, 0.725994454983219, 0.7130250638199119]"
141,"[0.7033400316648399, 0.7299366901232037, 0.7281899546605429, 0.7171571775932468, 0.7423240583566545]"
142,"[0.6945846963447591, 0.7171768161167454, 0.7301053345037167, 0.7399689135340151, 0.7384242359491207]"
143,"[0.7771897607122983, 0.7130679802256547, 0.7272846961345364, 0.7209223093210794, 0.6731506078694879]"
144,"[0.7236890661270162, 0.7506923609508424, 0.72180208898535, 0.6902905160249949, 0.7277184541535178]"
145,"[0.7276194950613557, 0.7347339519688596, 0.7213537066478243, 0.7047067679954114, 0.7344821295102902]"
146,"[0.7489486498450644, 0.7288747652751697, 0.7152185223725286, 0.7192465440386523, 0.7074352952012527]"
147,"[0.7358131386861314, 0.7102467024914509, 0.7346743295019158, 0.7146371463714636, 0.7242365771812082]"
148,"[0.7738900450919182, 0.7006246845027764, 0.7327450746979346, 0.7261755530751837, 0.687106135986733]"
149,"[0.7352029362505791, 0.7061815336463224, 0.7289983305509181, 0.7106869343235089, 0.7441778507852184]"
150,"[0.6696196388126596, 0.7430545678661168, 0.748798759446119, 0.7416505345401909, 0.7080272696720918]"
151,"[0.6951299270072993, 0.7136708341873335, 0.7188615431426933, 0.7375493153864006, 0.7496239042880833]"
152,"[0.7152811175999084, 0.6988958990536277, 0.7148197321059775, 0.7375183511492408, 0.7500841262473892]"
153,"[0.690792405478938, 0.7418624506859801, 0.7266423687120579, 0.7394488115291035, 0.7226467064461568]"
154,"[0.7258481751824818, 0.7216427003229997, 0.7181772585118311, 0.7282771696974922, 0.7289748167637662]"
155,"[0.7198898141750609, 0.7049909511833972, 0.7281833276079239, 0.7186262319241042, 0.7490030394442158]"
156,"[0.7555979894830928, 0.7202422245346283, 0.7105495675783216, 0.6940309247490098, 0.7338490907264142]"
157,"[0.7387804297363252, 0.7568032689095682, 0.7200977742261498, 0.6921896911937266, 0.7162998566489586]"
158,"[0.7369787026808727, 0.686844869526758, 0.7545867436816184, 0.7564927961996437, 0.693784840668941]"
159,"[0.7334833814619783, 0.710437062937063, 0.7102642699839294, 0.7523792478451827, 0.7103490379352448]"
160,"[0.702051282051282, 0.7335189245326564, 0.7244538656303362, 0.7301955402690198, 0.7268803299314972]"
