,roc_auc
78,"[0.6714544392108334, 0.6864445425595412, 0.6694825453204154, 0.6716145558818871, 0.670771462351455]"
79,"[0.6748884450413877, 0.6747886750103259, 0.6659214756203697, 0.676049830067769, 0.6779546220977217]"
80,"[0.6711111376594076, 0.6797190514886329, 0.6742555162318272, 0.6721278381117086, 0.6730513576353563]"
81,"[0.6754386935937159, 0.6736861218425936, 0.6710934389283787, 0.6761560658998784, 0.6735424498422569]"
82,"[0.6719525043534456, 0.6728470126325031, 0.6771326947070829, 0.6755292199482722, 0.672418536318097]"
83,"[0.6728509439027723, 0.6741757002401731, 0.6752017551880438, 0.6771159921782205, 0.6706802477398798]"
84,"[0.6730976800819655, 0.6708118648124451, 0.6780180772627806, 0.6701842477333952, 0.67782314602818]"
85,"[0.6784485171877799, 0.6726209907142284, 0.6727881019905985, 0.6690779574740533, 0.6771437133809174]"
86,"[0.667081479636395, 0.6742177302233479, 0.6742944384712399, 0.6752883830345783, 0.678795830606919]"
87,"[0.6740129638109346, 0.6726831594331082, 0.670510395756725, 0.6718230953367206, 0.6809930357338653]"
88,"[0.6722755986938229, 0.6718755321311917, 0.6809230398043137, 0.6747576936817116, 0.6706106122990908]"
89,"[0.6709221685840253, 0.6755532910188828, 0.6714316880555103, 0.6722426714227703, 0.6797794017884203]"
90,"[0.6764745900610248, 0.6779499776228547, 0.6705384391998087, 0.6761862426880091, 0.6691316044325359]"
91,"[0.6756522637573119, 0.6712476501951959, 0.6718437344109498, 0.671436206576261, 0.6798263159032932]"
92,"[0.6717045030235488, 0.6748271553408349, 0.6793550209410614, 0.6691341566670561, 0.6751412393165475]"
93,"[0.6787834331316114, 0.6768207872239429, 0.6732715742843839, 0.6729559339901482, 0.6682055939152847]"
94,"[0.6773280702584684, 0.6681202131821381, 0.6741435855455011, 0.6728429805821132, 0.6774590992924454]"
95,"[0.6671556113998014, 0.6826196040939966, 0.6733369776985949, 0.6692699067259991, 0.6776256756309442]"
96,"[0.6762985353115133, 0.6822649151470862, 0.6659320484439597, 0.6720223925490173, 0.6734942828275661]"
97,"[0.6741858609489038, 0.6717002269396326, 0.6687248199450305, 0.6744121163005785, 0.6807155171905287]"
98,"[0.6742587124792514, 0.6762564404487248, 0.6729855803061674, 0.6725841756507653, 0.6739891129805402]"
99,"[0.6741776505361629, 0.6685017086943251, 0.6741352991171311, 0.6720237843070135, 0.6812247894012653]"
100,"[0.6789913364253227, 0.6764442715025317, 0.6714627860285817, 0.6730669260688757, 0.6699643554840561]"
101,"[0.6699753236885985, 0.672190482556901, 0.6720049908034745, 0.6796786659777776, 0.6764519578400932]"
102,"[0.6783122254161215, 0.6775098546008966, 0.6696902963943702, 0.6718963424341801, 0.6725802106916267]"
103,"[0.6808406221486594, 0.6750760378175272, 0.6675680165899266, 0.6723280117995861, 0.6740617239800349]"
104,"[0.6701738606415728, 0.6769789792668723, 0.6725680050055569, 0.6753981378011755, 0.6752309583553897]"
105,"[0.6722203651905594, 0.6772488741919865, 0.6750707364060351, 0.6692961381221819, 0.6760459574923531]"
106,"[0.6716599748355624, 0.6744708018789952, 0.672738559562169, 0.6755807483280404, 0.6757397748303534]"
107,"[0.6729337314975609, 0.6758130612593267, 0.6696657827422589, 0.6755214676650831, 0.6759892892979711]"
108,"[0.6752370732626395, 0.6716014049291827, 0.6760535499363428, 0.6731241250547291, 0.6740816910778835]"
109,"[0.672274244415997, 0.6708850312074316, 0.6713732987031752, 0.6784543502922978, 0.6768101477406567]"
110,"[0.6691268036770857, 0.6737241820923137, 0.6742942521692284, 0.675738001210186, 0.6770239033423779]"
111,"[0.6734396390288475, 0.6748805673132063, 0.6759835592747321, 0.67226783160356, 0.6734898416518239]"
112,"[0.6706269147913658, 0.6704614000938732, 0.6753031116882079, 0.6772648416660852, 0.6763813131898855]"
113,"[0.6766323013196861, 0.6745768733839478, 0.676102104517674, 0.6673570940946216, 0.6754934958728936]"
114,"[0.6749305208394245, 0.6748063111604632, 0.6677511155453603, 0.6784080248901657, 0.6741740188461928]"
115,"[0.6704134276690698, 0.6724644330028342, 0.6727685845770468, 0.6795449239668127, 0.674687225949227]"
116,"[0.676915784833228, 0.6747581296250826, 0.6731301512221113, 0.6708049209917744, 0.6744213347036275]"
