,roc_auc
113,"[0.7004502550643557, 0.6966025655541426, 0.6987670860449756, 0.6998704043167367, 0.6953138069253281]"
114,"[0.6948451262096373, 0.702528457681947, 0.7006139893581891, 0.6923738902833966, 0.7004385718164075]"
115,"[0.7027222921193131, 0.6926011543237639, 0.6968245400676276, 0.6981654023467779, 0.700450805449119]"
116,"[0.6914971903324563, 0.6982228648721217, 0.6995856769323323, 0.7025834056317528, 0.6988638852219398]"
117,"[0.698755541281957, 0.7009746848906191, 0.6933563965586782, 0.6993993078604058, 0.6983460201224131]"
118,"[0.6958480440157007, 0.6963520560001725, 0.6982063796496636, 0.700923961087944, 0.6992406849690076]"
119,"[0.6974948241054797, 0.6947776690198251, 0.6953131135850872, 0.70743695212294, 0.695186556485192]"
120,"[0.7004319141903507, 0.6972665063280827, 0.7012099145444202, 0.6965070464226006, 0.6951123941308895]"
121,"[0.6957223659004727, 0.6974725142935788, 0.7017070838847475, 0.6995175496609205, 0.6965966299423842]"
122,"[0.6983837152451106, 0.6998153180673461, 0.6970507502334512, 0.6928201891423824, 0.7026864090277466]"
123,"[0.695312685707024, 0.705371037787848, 0.6904209793975873, 0.7006320748073075, 0.6995643693863722]"
124,"[0.6975730315897586, 0.7015554799907512, 0.7021290999049017, 0.6951569605612745, 0.6937796262894806]"
125,"[0.7005834011839742, 0.6966639450595307, 0.6919507002209748, 0.6989169880648693, 0.7028661754324499]"
126,"[0.6977063649769644, 0.6976886256291488, 0.6986794311946561, 0.697898255770263, 0.6984370532431035]"
127,"[0.6961584894122039, 0.6972815092992135, 0.7005766357167746, 0.6988049692182866, 0.6983872582600349]"
128,"[0.6993288751874287, 0.6985096124066679, 0.6991520003837419, 0.6990698488778, 0.6947132351128257]"
129,"[0.700190194863433, 0.6926719369319448, 0.6963062946115656, 0.7004495669882033, 0.7011763437573374]"
130,"[0.6949907420806604, 0.7042854509891079, 0.6944366638229837, 0.7036611118232355, 0.6938215182799783]"
131,"[0.7004538937303247, 0.7004337573573918, 0.6985188418613343, 0.6974122557819779, 0.6935315685844217]"
132,"[0.6974098556938217, 0.6998191825893751, 0.6981276137674881, 0.6969405383924472, 0.6987991776256268]"
133,"[0.7064694268798293, 0.6918906191041921, 0.6960711364599342, 0.70137966929847, 0.6952856083849003]"
134,"[0.6992912639112124, 0.6971244201673417, 0.6955634233869641, 0.7010225963834762, 0.6979609257521453]"
135,"[0.6962118220861132, 0.6977058758113271, 0.7045947251119743, 0.6931579961007666, 0.6993648977176584]"
136,"[0.6913031028001084, 0.6982954157403087, 0.7001346478921733, 0.6996291916339705, 0.7014465007814678]"
137,"[0.6962519575024153, 0.6945548580444498, 0.7020086584723879, 0.6942343662074668, 0.7033982413991217]"
138,"[0.6957710248293849, 0.7017648451533578, 0.7011701366389665, 0.6961847616590481, 0.6959307250597243]"
139,"[0.7064242488581308, 0.6974111098191792, 0.6913952316433319, 0.6991499776395939, 0.6963253718118485]"
140,"[0.6994812054526728, 0.6959317617068663, 0.6954373105839428, 0.6938136436664382, 0.7061528282110998]"
141,"[0.7019190503643851, 0.702451432820856, 0.6937253965573889, 0.7025790908838696, 0.6901712234082236]"
142,"[0.6988519977088798, 0.7023472984228537, 0.694359764941906, 0.6957205760643624, 0.6989605487423936]"
143,"[0.6964745051682132, 0.6974984230480212, 0.7010415882223551, 0.699359487539176, 0.6963537780867838]"
144,"[0.6996719845909782, 0.700128679163436, 0.6969090794662675, 0.6941725532723224, 0.6995846717451965]"
145,"[0.6946993412303084, 0.7015664186877599, 0.7000640831953667, 0.6934570849794874, 0.7010164631072824]"
146,"[0.699117804187345, 0.6948608396626448, 0.7017766214472116, 0.6992857565461457, 0.6958203249530736]"
147,"[0.6921657129200325, 0.6959221361528789, 0.7015399594801062, 0.7022695959820378, 0.6991969438008458]"
148,"[0.6965083506634919, 0.7042926284449995, 0.7009491132178338, 0.6943678339257285, 0.6944854037107876]"
149,"[0.6984017598958412, 0.7007871017858037, 0.691786304248333, 0.7037434393923563, 0.6959534600690913]"
150,"[0.6951659609848932, 0.7006766831415534, 0.6999932767531292, 0.7012303944599045, 0.6933130613968306]"
151,"[0.6945189889242731, 0.6908880179505948, 0.6936048393594575, 0.6985746733811907, 0.7130475966752126]"
152,"[0.701182850405712, 0.6975633674472984, 0.6932277289717839, 0.6977658562387306, 0.7010062126012616]"
153,"[0.6983036328150487, 0.6994184991848026, 0.6993595938814772, 0.7023391779607263, 0.6907726874574627]"
