,roc_auc
41,"[0.7592437755481234, 0.7347988665923447, 0.713756503158677, 0.7347383382263852, 0.7525164266741227, 0.7518640197586095, 0.7400973950323874, 0.7465632135700638, 0.7881075539400717, 0.7123118505056154]"
42,"[0.7466439056112969, 0.7258686361947231, 0.7540528613898181, 0.7662519222703761, 0.7375460179877907, 0.7325597651335103, 0.7423924693601753, 0.7357169485996553, 0.7237872221445547, 0.7694790064774687]"
43,"[0.7066843180973617, 0.7707868821999255, 0.7123049052396878, 0.7407731021948831, 0.744908896034298, 0.7684654457337248, 0.7214338971993103, 0.7604734610186868, 0.7265599515354864, 0.7891560650542895]"
44,"[0.7540993125232255, 0.7338001672240803, 0.738816889632107, 0.6984948040449228, 0.7383848268791648, 0.7485903350575516, 0.7572813271820682, 0.749242741973065, 0.7441749382543456, 0.7688265995619554]"
45,"[0.72493961352657, 0.7387356001486436, 0.7710888145670753, 0.7393634372524349, 0.7429050747937929, 0.7616850738617829, 0.7628267859639314, 0.7355305466237942, 0.7764457803252715, 0.6783866908989236]"
46,"[0.7294221479004088, 0.693979933110368, 0.7625882571534746, 0.7684071951162682, 0.7249056339997203, 0.7863367351693928, 0.743021576028706, 0.7448622955403327, 0.7305326436460227, 0.7478796775245817]"
47,"[0.7566889632107022, 0.71711259754738, 0.7699856001486437, 0.6817069760939465, 0.7563376671792721, 0.7011510322009414, 0.7621277785544527, 0.7646791555990493, 0.7748730136539447, 0.7531571834661448]"
48,"[0.7613456893348197, 0.7493148457822371, 0.7544476960237829, 0.7509902604967612, 0.7358334498345682, 0.7657393168367586, 0.7514096649424482, 0.7258376438790252, 0.7065450393774174, 0.7441166876368889]"
49,"[0.7214209401709402, 0.7266002415458938, 0.7350775733927909, 0.7476117246842817, 0.7264084999300993, 0.7764690805722542, 0.7724031874737873, 0.7589938953352906, 0.7311384500675708, 0.7428002236823711]"
50,"[0.7301189149015236, 0.6958031400966184, 0.7854538275733929, 0.7452933501095111, 0.6942425089705951, 0.7647956568339624, 0.7517009180297312, 0.6956055734190782, 0.8023556549699427, 0.7708187706789693]"
51,"[0.7218273875882573, 0.7557018766257895, 0.7637030843552582, 0.7365091569970641, 0.7585278903956382, 0.7366373083554686, 0.7845193159047487, 0.7599725057085606, 0.7244629293070507, 0.6913416282212591]"
52,"[0.7547612411742848, 0.7651314567075437, 0.7434155518394648, 0.7652500116501236, 0.725721142644112, 0.7342839834102242, 0.6498322382217252, 0.7630481383102661, 0.7435924320797801, 0.7834358544200568]"
53,"[0.7329175956893349, 0.772888795986622, 0.7694049609810479, 0.6990889603429796, 0.7142224707581901, 0.7396197399692437, 0.7040169625798033, 0.8173959643972226, 0.737406216505895, 0.7530057318607577]"
54,"[0.7740616871051653, 0.7570837978446673, 0.7637495354886659, 0.7135467635956942, 0.7376858194696865, 0.7074187986392657, 0.7646791555990493, 0.7906239806141944, 0.7227853115243021, 0.6969220373735963]"
55,"[0.6987760126347082, 0.764957264957265, 0.7668733742103307, 0.7534251363064448, 0.7566988210075026, 0.7468195162868726, 0.782725196887087, 0.7352043431660377, 0.7204552868260403, 0.7230882147350763]"
56,"[0.7622979375696767, 0.706498513563731, 0.7560734856930509, 0.7406449508364789, 0.7506174565450394, 0.7879444522111934, 0.763152989421688, 0.7042616151731208, 0.7107157835873059, 0.7472855212265249]"
57,"[0.6534280936454849, 0.7398388145670755, 0.7879621887774061, 0.7359033505755161, 0.7610559671932524, 0.7794631623095206, 0.712183699147211, 0.747320471596999, 0.6954308215667085, 0.8233957779952468]"
58,"[0.7717159048680788, 0.7395601077666295, 0.7325343738387217, 0.7305209935225314, 0.7694440561069948, 0.7488116874038864, 0.719453376205788, 0.7571182254531899, 0.7379654224334778, 0.7328626683442844]"
59,"[0.7482116313638053, 0.7280866778149386, 0.7292711817168337, 0.7586210913835687, 0.7653432126380539, 0.745736054802181, 0.7352509436600028, 0.7458758562840767, 0.7504310545691784, 0.7323617130341581]"
60,"[0.7474916387959867, 0.7106558900037162, 0.7676282051282052, 0.7648772076984016, 0.6552611957686751, 0.7418798639265576, 0.7218300013980148, 0.7635840439908663, 0.741285707628501, 0.8250733957779952]"
61,"[0.7216531958379785, 0.790006038647343, 0.7553534931252323, 0.7260123957313946, 0.7049256722121254, 0.7607996644764436, 0.7573861782934899, 0.7312316510555013, 0.7619996271960484, 0.7226455100424064]"
62,"[0.7817609624674843, 0.7229189892233371, 0.7756642512077295, 0.707395498392283, 0.7696537583298384, 0.7370450626776643, 0.7474369728319119, 0.7623607810242787, 0.684701057831213, 0.7428235239293536]"
63,"[0.7353446674098847, 0.7176816239316239, 0.7314543849869937, 0.7539027913695885, 0.7594132997809777, 0.7031898038119204, 0.7393168367584697, 0.760706463488513, 0.7693275548720817, 0.7589006943473602]"
64,"[0.7742939427722036, 0.7729468599033816, 0.6859787253808993, 0.6787594948506454, 0.7391420849061, 0.733934479705485, 0.7526096276620533, 0.7382450253972692, 0.8060720443636702, 0.7594599002749428]"
65,"[0.752020624303233, 0.7287834448160535, 0.7176932367149759, 0.743138077263619, 0.7549047019898412, 0.7344703853860851, 0.764516053870171, 0.7534950370473927, 0.7299384873479658, 0.7580735355794772]"
66,"[0.7536580267558528, 0.7313730955035302, 0.7772435897435896, 0.770131413392982, 0.7851018220793142, 0.6431567174612052, 0.7441399878838715, 0.754636749149541, 0.7147933268092642, 0.7598094039796821]"
67,"[0.7424284652545522, 0.7654217762913416, 0.7595108695652174, 0.7619180763316091, 0.7400041940444567, 0.6940328067477515, 0.7130574584090592, 0.7762710284729017, 0.7465049629526073, 0.7315578545132578]"
68,"[0.7271344295800818, 0.7451110182088443, 0.7442516722408027, 0.7466331143110116, 0.7689081504263945, 0.7552658558180716, 0.7604035602777389, 0.7443147397362412, 0.7298569364835267, 0.7062654364136262]"
69,"[0.8091671311780007, 0.7289111854329245, 0.7403730026012635, 0.7608462649704086, 0.7165757957034345, 0.7336665268651849, 0.6824176336269165, 0.7907404818491076, 0.7468777669043292, 0.7285171722820262]"
70,"[0.7646321070234114, 0.7045707915273132, 0.7198996655518394, 0.7316976559951537, 0.7995246749615545, 0.7519805209935226, 0.7561396150799199, 0.7220746539913323, 0.6985530546623795, 0.7816184351554126]"
71,"[0.7452039204756598, 0.7763377926421404, 0.7355536975102193, 0.7361829535393077, 0.733375273777902, 0.7476117246842817, 0.7296588843841743, 0.758073535579477, 0.7358567500815509, 0.7350179411901766]"
72,"[0.7294105351170569, 0.7206777220364178, 0.7354607952434038, 0.7942821193904654, 0.7485670348105691, 0.7389207325597651, 0.7263851996831167, 0.7301947900647748, 0.7848455193625051, 0.7169252994081737]"
73,"[0.7187267744332961, 0.7637843738387217, 0.7251486436269046, 0.7465166130760986, 0.7684537956102334, 0.7248007828882986, 0.7880027028286499, 0.7195465771937183, 0.7280511673423741, 0.7463185609767464]"
74,"[0.7017372723894463, 0.7640746934225195, 0.7450877926421405, 0.7167388974323128, 0.7519455706230487, 0.7987790670581109, 0.7273521599328951, 0.7409828044177268, 0.7441982385013283, 0.7428235239293538]"
75,"[0.7518696581196581, 0.7343343552582683, 0.7709494611668524, 0.780313621324386, 0.7590754461997298, 0.7049256722121254, 0.7343655342746633, 0.7463884617176942, 0.715538934712708, 0.7345286360035417]"
