,roc_auc
115,"[0.720054900318701, 0.7418899899969758, 0.6905285318817318, 0.7187718439815463, 0.7469505801761499]"
116,"[0.7221892665224371, 0.6997522506804383, 0.7132505175983437, 0.749105853022042, 0.7301248893238268]"
117,"[0.7444925209947194, 0.7427885174587666, 0.7033521762393282, 0.6978249219441728, 0.7286627988256674]"
118,"[0.7021483239118804, 0.7230558075697304, 0.7225382092260452, 0.7496417587026423, 0.7241775012815136]"
119,"[0.6909850652522856, 0.7594883336822761, 0.7450828157349898, 0.7251211612843096, 0.7022082809077775]"
120,"[0.7309244655360922, 0.7057075394886827, 0.7275339055993671, 0.7230387017102382, 0.731217088401137]"
121,"[0.7189499150906088, 0.7327098890362204, 0.7283510130969827, 0.701745188498998, 0.7385391910154248]"
122,"[0.7487670691139182, 0.7062280456882314, 0.7125410007676739, 0.7051295493732233, 0.7440555244885595]"
123,"[0.7245097355014308, 0.7099966268871984, 0.716126387047247, 0.7495485577147117, 0.7255114404212685]"
124,"[0.7429019238374392, 0.7563769279084374, 0.7006333310070487, 0.672276201127732, 0.7456632415303603]"
125,"[0.7480197501570243, 0.7023169795519575, 0.7050794426221881, 0.7365557574910293, 0.728403583577986]"
126,"[0.7563623886291204, 0.7033783469420989, 0.7057075394886827, 0.7128128058157418, 0.7388828696584184]"
127,"[0.7045909228371368, 0.7635651476027636, 0.7270046758322283, 0.7242415769607158, 0.7015034484365534]"
128,"[0.6919272105520273, 0.6934044013306351, 0.7425704282690117, 0.7357635490936204, 0.7543775339018592]"
129,"[0.6939598018005444, 0.7362981831716565, 0.7253879079721777, 0.7205514003448436, 0.738690642620812]"
130,"[0.7306220485262985, 0.6817584385977157, 0.7682584269662922, 0.7390780092268978, 0.7035626077636423]"
131,"[0.7246783911415079, 0.7420208435108289, 0.7285865494219183, 0.7040140500489305, 0.7171845146558555]"
132,"[0.7294938004512992, 0.7340097006071603, 0.7203951194547187, 0.6938784426114917, 0.7430244885595787]"
133,"[0.7290896084862866, 0.7236868122920884, 0.7338613999581269, 0.7249871848641596, 0.7071741460459482]"
134,"[0.7189557308023357, 0.7102496103473143, 0.7098628655174822, 0.7309578731534554, 0.7448448203550958]"
135,"[0.6995428850582734, 0.7174785400237281, 0.733404866587573, 0.7015354862761546, 0.7634500675707162]"
136,"[0.6940761160350802, 0.7154255937841673, 0.735902714774234, 0.7344121347686284, 0.7385158907684422]"
137,"[0.7722421894991509, 0.7311367390141206, 0.684012026891851, 0.6864864392562562, 0.741332308122466]"
138,"[0.7168795217158678, 0.7016946983971899, 0.7193482913438947, 0.7224736707209095, 0.7602084207092594]"
139,"[0.7278014283388, 0.7477580431293182, 0.7175483285644498, 0.74457104245305, 0.673522764341302]"
140,"[0.6872368390443623, 0.7440418033358923, 0.7476184660478752, 0.7278793280208771, 0.7097866862388742]"
141,"[0.7141432293484078, 0.7359463326121851, 0.7096942098774048, 0.7283511580222751, 0.7286540612330492]"
142,"[0.7239136250494335, 0.7431083816037407, 0.7208952706632238, 0.7106575329698495, 0.7207203271354676]"
143,"[0.7348122688254588, 0.7351815665201109, 0.707554027961942, 0.724509529801016, 0.7169165618155554]"
144,"[0.7068154325726382, 0.7217181938725663, 0.6995225300672296, 0.7341063190269818, 0.757179388601519]"
145,"[0.7554696768790564, 0.703320189824831, 0.7196158140833275, 0.7088168134582227, 0.7339723426068316]"
146,"[0.6978301579547304, 0.7279700839788774, 0.7380748831041942, 0.7474952234493685, 0.7046984948040449]"
147,"[0.7307412706166981, 0.6893741131039617, 0.7019767604159396, 0.7305442937695139, 0.7643616897339112]"
148,"[0.7311425547258473, 0.7156436829739223, 0.7310204247795845, 0.7198087049722727, 0.7164243440980474]"
