,r2
53,"[0.1456741028525641, 0.12739338552011636, 0.14121059226146804, 0.17459473750034915, 0.1350939778604089, 0.1384447054376715, 0.17615988712834718, 0.12133310111248918, 0.17328917797172616, 0.19465568026201963]"
54,"[0.09046340753062632, 0.1439076959194754, 0.1997238561442778, 0.10787978754605743, 0.14436132696496196, 0.15760094236241595, 0.17784733593103774, 0.15250356960606637, 0.18480333851324204, 0.1701428690186677]"
55,"[0.15312613890077842, 0.13425150665821228, 0.1680780150825234, 0.18734156894509846, 0.20239132097070955, 0.0752086241429819, 0.11069482999543379, 0.1470739566698802, 0.1857641461428452, 0.15570700405183857]"
56,"[0.13847735398795535, 0.11671200339023369, 0.17005300878693863, 0.21612070616621548, 0.12777402944675986, 0.11670856146735742, 0.13857330289089287, 0.18638422999127724, 0.11888223764019479, 0.18845123493500282]"
57,"[0.1336937003606533, 0.15843018403432974, 0.11969711180978937, 0.1570870866858528, 0.1356813560720549, 0.1711444988800006, 0.23434641012392987, 0.10260499512921928, 0.127890657830116, 0.18410549960349487]"
58,"[0.18806419210254754, 0.15276835681444778, 0.1800888336862012, 0.18306360318517167, 0.17740338468906802, 0.12415013573407807, 0.19517817144829386, 0.12009878095877624, 0.1053323932993363, 0.11428731446805795]"
59,"[0.12948342342244779, 0.1462311904382, 0.19090825425359792, 0.1265688750841879, 0.19983650978341438, 0.1832043504300438, 0.22377934909775188, 0.10470267236817266, 0.06608090434314517, 0.15602909608544113]"
60,"[0.1405127921379743, 0.19755721277069682, 0.10546729070768723, 0.1798395767535237, 0.13100890989527425, 0.10098344094583878, 0.0907435157687202, 0.19585699520485378, 0.19125406532970868, 0.1914529929115728]"
61,"[0.12807170425747272, 0.15837339877237533, 0.11654019984001718, 0.2085406924135188, 0.12334502998086927, 0.18522617463514512, 0.1095185702257595, 0.17783278150976745, 0.17091908154418534, 0.13680383963805198]"
62,"[0.15402876151584943, 0.16744603794133828, 0.16317878829603494, 0.16782615683287794, 0.15715396123011982, 0.17517725049479005, 0.11900683682679702, 0.19604454378276237, 0.09548686736990641, 0.1389616301077461]"
