,r2
139,"[0.03502483097295328, 0.0315334237815289, 0.030578158826836788, 0.03225238093909644, 0.03198727188063755]"
140,"[0.03261024985411154, 0.03267646487336162, 0.03062946931598365, 0.03395363256380868, 0.0317214002335956]"
141,"[0.030075685505128402, 0.03241138248873865, 0.032525202444545154, 0.03175756154611864, 0.034818814798313835]"
142,"[0.03344443407798925, 0.03249093533219327, 0.034989899795042634, 0.02758829219685266, 0.03316582051460082]"
143,"[0.0299693465021188, 0.030726518747650533, 0.031271792117329444, 0.035114269547835586, 0.03451069901499493]"
144,"[0.02978430816015154, 0.034278383700640846, 0.031204624612579668, 0.03456835804882996, 0.03165673856618767]"
145,"[0.03639838206025603, 0.029148893306683687, 0.030907357510232325, 0.03352592402944221, 0.03152925976488674]"
146,"[0.03409225420558826, 0.0324064819451102, 0.033887834650672355, 0.02995947100225782, 0.0313340304061237]"
147,"[0.03311665527622598, 0.031391831233964385, 0.031873206382022956, 0.03359267309406766, 0.031577900572896]"
148,"[0.03310607518506414, 0.03185461908032017, 0.032631381349255584, 0.03308217119491841, 0.030963335909641065]"
149,"[0.03600008554596068, 0.033450426288210044, 0.03125306008350737, 0.029813150545985434, 0.03125687447609271]"
150,"[0.033839320364264736, 0.02934389406089477, 0.03159545198442715, 0.03471287964468839, 0.03181529422944496]"
151,"[0.031618078439847874, 0.03208915862131079, 0.03103579066298756, 0.03041972539681992, 0.03640544202971652]"
152,"[0.029974183381215047, 0.036403649794071735, 0.032582546205550234, 0.029963433716956978, 0.032404716282848245]"
153,"[0.03242733661634867, 0.03193976982753888, 0.033214117726433234, 0.032426836062974806, 0.031569672940143234]"
154,"[0.030857794707593644, 0.03294270806892574, 0.030105086610033305, 0.03566682936039589, 0.03192657981915148]"
155,"[0.028599957531804443, 0.03566973337023882, 0.032396994911377264, 0.029315981591453766, 0.035626704555468014]"
156,"[0.03083921533685896, 0.029485701959982902, 0.03435350722373498, 0.03288057944916578, 0.034000762363548986]"
157,"[0.030215533495812852, 0.0357336912890599, 0.03293505938505803, 0.03185599505143455, 0.03081900625759415]"
158,"[0.03369051005114854, 0.031327920430207046, 0.03155492124011616, 0.03407993556326516, 0.030986628989311815]"
159,"[0.03230891666314639, 0.03183150505601151, 0.03005758973581285, 0.03308644824862583, 0.034213721161813315]"
160,"[0.03627110585296878, 0.02911596761974866, 0.034693414981266324, 0.031573971549010094, 0.029601363325081453]"
161,"[0.03304088823558449, 0.033056743237646846, 0.030717356568859988, 0.03503295543613627, 0.029801663278518187]"
162,"[0.031181409186706643, 0.03324859018316573, 0.03069300726090296, 0.03333072388888214, 0.0331783090653075]"
163,"[0.02772778202338, 0.03486467071070609, 0.03467844315408508, 0.031456852388111356, 0.03272334367060459]"
164,"[0.03212838543981056, 0.03626768530699809, 0.032478851547174115, 0.029319252488789083, 0.03145866642146167]"
165,"[0.03335093581168591, 0.03299448497274404, 0.035105290010518986, 0.029359557889897636, 0.030915273751179417]"
166,"[0.03683638645121856, 0.028513649893936344, 0.03256878330862323, 0.032874286152442034, 0.03078863635000939]"
167,"[0.0346118804675416, 0.03202658866331398, 0.030028251736721523, 0.03354724117774022, 0.03135918949688954]"
168,"[0.03435320929531138, 0.03220521912427865, 0.03559243683713598, 0.029180683759497783, 0.0304056967391505]"
169,"[0.03601023062195419, 0.029008315961369102, 0.03126985615689126, 0.030827066942228476, 0.034298844121171346]"
170,"[0.031109494691844874, 0.031118874686202003, 0.03120119258686227, 0.03373574902170873, 0.03447644145279005]"
171,"[0.03092771405953365, 0.033622192181106514, 0.033507468094987836, 0.03169772517435088, 0.031728379706066234]"
172,"[0.031150564126427138, 0.0350804470973195, 0.029837557920916802, 0.033994700213576756, 0.03148656051073251]"
173,"[0.031414188116035136, 0.030593452941589327, 0.03464251946290853, 0.03321301841210722, 0.03163785244399897]"
174,"[0.032261161660502524, 0.034022418317759096, 0.03110408319821012, 0.030639525543662227, 0.0333443839923121]"
175,"[0.03301960079925215, 0.031100708372363672, 0.03352802166773061, 0.03241173738062364, 0.03171477857020755]"
176,"[0.032082987012722275, 0.03557596157866716, 0.03397346192421069, 0.03253283879601854, 0.027400311255070142]"
177,"[0.03229880402881158, 0.034884876036232026, 0.03426197655561747, 0.029426666997541706, 0.03076001466009126]"
178,"[0.03017317486628579, 0.031878203717063514, 0.033539899392819206, 0.03546914117636546, 0.030467544449424455]"
179,"[0.02982715785282375, 0.03362518239515666, 0.0327129269799008, 0.035469375291069194, 0.029908369306846594]"
180,"[0.03184433272291509, 0.030980979918252327, 0.03160707061844603, 0.03363151058978586, 0.0336072362404779]"
181,"[0.032960781946772766, 0.03314475845568754, 0.030640760028397995, 0.033691145204524875, 0.03120937836218962]"
182,"[0.030352412190371214, 0.03074449223303588, 0.034831189939410145, 0.03207199621735335, 0.033565948543286206]"
183,"[0.03393086343181173, 0.032147916998466974, 0.030461642661559818, 0.03147999016715053, 0.03372232656934171]"
184,"[0.029995636741973475, 0.031370658482683944, 0.033444205786445136, 0.03479393774172723, 0.03190728979903168]"
185,"[0.031748199998154925, 0.034220905085593833, 0.03172726515539803, 0.03121654712441191, 0.03285037647719247]"
186,"[0.034418403150414, 0.033649490336734034, 0.03062126447832414, 0.03400346463227044, 0.0287805323917687]"
