,r2
51,"[0.15690581624135447, 0.16363169325885485, 0.20884025311032584, 0.16678925621866203, 0.20608927982852787, 0.14732042604014806, 0.21736167585650634, 0.22339592930557806, 0.1692344359390271, 0.0699849355133837]"
52,"[0.1667901734095366, 0.20094175187415397, 0.15074726783322134, 0.19823981388894651, 0.14646152718952477, 0.151229729516709, 0.0830179678716737, 0.19956563647530268, 0.1976657814128011, 0.2216730768970394]"
53,"[0.1561696611896526, 0.22576787394597708, 0.1875099910350534, 0.1240012361295697, 0.13499597438468325, 0.15590523548973156, 0.11659296022661414, 0.25560212912988345, 0.17387670824643364, 0.1993386215875652]"
54,"[0.2053036927013403, 0.19868342508788606, 0.2069837758689943, 0.13900152928308063, 0.176351584794603, 0.09120234659969428, 0.1869854371956462, 0.2645376541274973, 0.13022149972010266, 0.12004085761384442]"
55,"[0.10244079293663144, 0.1820719521553914, 0.19314654316836333, 0.18608145209702176, 0.17701753196221504, 0.18676359831292144, 0.2316640653238049, 0.15886829011611592, 0.15334538874356918, 0.16714495586679146]"
56,"[0.22648158656307937, 0.11671637253044875, 0.18349705846806086, 0.16721639263109078, 0.1534553894444417, 0.2212350194982372, 0.19981876022145706, 0.12018171203611583, 0.13496992676083386, 0.18998507829884748]"
57,"[0.06992437188910938, 0.1762484851940853, 0.21810444015588826, 0.17451267725081554, 0.19349573534084752, 0.21970573829436502, 0.1098780247631933, 0.1763685049208894, 0.09180435706273615, 0.2856579988659377]"
58,"[0.21404900987574194, 0.18258341842075498, 0.14779388882578248, 0.15113518750893096, 0.2191831975159062, 0.17142280435907375, 0.14325947465646327, 0.1813972885158215, 0.14831477749381228, 0.17435629156269394]"
59,"[0.17083501895066133, 0.17091623848482929, 0.17149341149287678, 0.1905022757982715, 0.20414207161807907, 0.1771492734530652, 0.14976143279445908, 0.16321317729976692, 0.18000833682354767, 0.16058863524850486]"
60,"[0.16702798500670035, 0.13939455587845506, 0.19564558465064585, 0.19909802870484217, 0.059521723036259244, 0.17424448267335257, 0.1406629717243547, 0.20731149182245534, 0.16231863569506066, 0.281288150319115]"
61,"[0.12409989620541828, 0.26028714383677753, 0.18583157304285103, 0.13986035299443877, 0.0946883116146856, 0.20705469899069306, 0.1838720467336682, 0.16001134013532547, 0.19087322386281247, 0.164469555577207]"
62,"[0.23828025066723102, 0.16332681057557696, 0.20173166877962478, 0.15279152568777754, 0.21105596764291545, 0.13601291746647104, 0.1479899410143266, 0.2004082397494633, 0.10180044984052616, 0.1665220981501282]"
63,"[0.16666062940384718, 0.1424456120069031, 0.12801468617592038, 0.20288134123616675, 0.2091341782503141, 0.10973425433762907, 0.18682177228985142, 0.18780631005705017, 0.2001910053253566, 0.1973751144308531]"
64,"[0.21823575712314447, 0.2131247258006317, 0.1107383505653885, 0.07188863019028091, 0.14018323600588, 0.15380429359193193, 0.1970659829723006, 0.18753740730302315, 0.25038683908677284, 0.1893838997358095]"
65,"[0.182560655423874, 0.16619571596806382, 0.15434325245698455, 0.15259544016975923, 0.2020664921311952, 0.16170281343973536, 0.2092659127649652, 0.16750164275344814, 0.1494997810459976, 0.19229684973493977]"
66,"[0.15865589801216418, 0.16327793375172117, 0.22260703971192297, 0.19579105064776836, 0.23176022886685388, 0.0648664196724219, 0.1573906571833934, 0.2094426288349862, 0.12687655841248213, 0.18860628100119736]"
67,"[0.1425927053283671, 0.2040299469082043, 0.20770641189585037, 0.21589957328628318, 0.17447930602085393, 0.11233169842643997, 0.12531536969729873, 0.1828293830130704, 0.1845984097532649, 0.1775707049311832]"
