,imv
57,"[0.11849174181693634, 0.09535959878956399, 0.09929817094711418, 0.09469675388561113, 0.10911224226689552, 0.1539629813672325, 0.17610163832405454, 0.06628109428688349, 0.08846243154216042, 0.11047775849849548]"
58,"[0.11945491957338987, 0.12354899842538505, 0.124369250354508, 0.12909828791718356, 0.11618110490111269, 0.08253198010038512, 0.18056395212645016, 0.07838374137430987, 0.07548440339326103, 0.0760983219711879]"
59,"[0.12739062092056674, 0.10305637908476831, 0.12872521498251135, 0.1374318021816478, 0.14627806551100458, 0.10365573696578843, 0.13382368257561325, 0.06865699867413168, 0.0516898314483434, 0.10334351244807517]"
60,"[0.09477183117135894, 0.14261274267567525, 0.07555925888784928, 0.13231292974983883, 0.09836391482861116, 0.0702453852902139, 0.07834344801869494, 0.10880003185296164, 0.11749787290866105, 0.20680399661524762]"
61,"[0.08092413092773183, 0.11396755717608154, 0.0795607736380186, 0.1309306435602934, 0.07655822650441527, 0.1701684488426705, 0.10043646114272513, 0.13486936167588662, 0.11577559912729815, 0.11464603971199706]"
62,"[0.09840861210311445, 0.15366282913925447, 0.10210336525291717, 0.13654422980627617, 0.132413976541322, 0.12570970341567828, 0.09045551589612835, 0.13006561559931676, 0.06301707073089662, 0.08641264591066775]"
63,"[0.10125495445922031, 0.1109563561654885, 0.09938661549138325, 0.0789130668394664, 0.11126201538491012, 0.10194643693554704, 0.13790809849472038, 0.10925485161073945, 0.10470480465408931, 0.15415476489179794]"
64,"[0.09648261361355098, 0.0948790427285884, 0.1214107012040101, 0.09239053260034641, 0.07765795136120114, 0.12128460988075254, 0.14345698125376133, 0.15727744114860012, 0.09563176633587347, 0.09393927263722125]"
65,"[0.09485531803913824, 0.08073102863427703, 0.10229992501957523, 0.09466671640249114, 0.11780525328291759, 0.10448344795214458, 0.1449048162834581, 0.10556051484010257, 0.10883225641107737, 0.1586357655909961]"
66,"[0.12257182300575184, 0.15356452088108666, 0.08958960926196989, 0.09347043355778133, 0.10313166171405627, 0.09236285521546725, 0.15051680514060028, 0.07928446375185885, 0.09165756387813277, 0.13320839180534888]"
67,"[0.1207609887648428, 0.1547363208987002, 0.0958959238414714, 0.08060019341597176, 0.13245195748348323, 0.06406778337040273, 0.14526094765479095, 0.11916142388107985, 0.12037663120254373, 0.08123452808126205]"
68,"[0.11674259481542176, 0.08265385114899465, 0.07966229338753049, 0.07807045995974193, 0.11374626127473353, 0.14466818166805276, 0.12430918846406173, 0.1590181533166437, 0.08294334968817335, 0.0970323324436414]"
69,"[0.08560504627514978, 0.1411383420718257, 0.1118590884170455, 0.05727922441720342, 0.12507890644451655, 0.09883001439969656, 0.13956811810991218, 0.10578651331555801, 0.1155376144268734, 0.12257757351108506]"
70,"[0.11389519697360603, 0.12365202175556143, 0.07845141690196475, 0.1150973930092489, 0.26753416606174035, 0.08960166922686219, 0.0993281144585819, 0.16887117802263776, 0.06232746636794226, 0.06577621738854085]"
71,"[0.09361147909849162, 0.10155206570607116, 0.09367557653263764, 0.14084434008696645, 0.10629809919228803, 0.16130682226806994, 0.09430504588250194, 0.12479210540149653, 0.10508698184796283, 0.07575795984012021]"
72,"[0.13411707149681812, 0.08534257017004496, 0.09569538968606936, 0.06515775480219267, 0.08441506946056486, 0.10844487827248118, 0.1614290197224741, 0.07340211726201051, 0.1448892999584418, 0.16274750315611652]"
73,"[0.09749861769423311, 0.11454885556343804, 0.0967441805369627, 0.13613037310866802, 0.12085582337752274, 0.07250364639560854, 0.16282380333636354, 0.12771179492194834, 0.0888801611912262, 0.09588322600774145]"
74,"[0.09791668113634888, 0.09569195397499068, 0.11452287139943056, 0.11573111003945138, 0.09798396421769702, 0.11799229803620002, 0.1387805021561392, 0.10667546813931099, 0.09604272317715146, 0.12163617361296875]"
75,"[0.06319250408768735, 0.10112624981422472, 0.13310180118961606, 0.09119243830099144, 0.1462297182139792, 0.14722769842056752, 0.10566975131126664, 0.11430520354915398, 0.09736282360661618, 0.10063208205701664]"
76,"[0.11248897141602661, 0.14546257472806892, 0.09681831896644179, 0.11040122764660933, 0.16437832703616476, 0.07405605010562029, 0.10380962989982732, 0.11633053778271671, 0.10683298912213395, 0.08396805151589588]"
77,"[0.1439814532782289, 0.12792297752497245, 0.11866881744364974, 0.07256453508371227, 0.14771230477422806, 0.13683053192377834, 0.11718121015752465, 0.08061637965045163, 0.07116480961502378, 0.08941742092061743]"
78,"[0.10815920496101737, 0.1536938583430796, 0.14154691942530692, 0.09906640000087298, 0.1115003336278357, 0.12058606966109549, 0.11428525579150439, 0.05429250560874931, 0.0787184065281467, 0.12225152357658797]"
79,"[0.09978126334766906, 0.10010816570056126, 0.10720346264772386, 0.0733950955785436, 0.16437364428990045, 0.13651124061038528, 0.08287240826795578, 0.10005536276889004, 0.09593884002609501, 0.13160962000549586]"
80,"[0.07574061635651383, 0.13776625333676765, 0.09700787567675637, 0.11589198308556117, 0.0984888065191068, 0.08824423332934316, 0.10636676084571538, 0.1468091787507529, 0.118403244262413, 0.11797284344932524]"
81,"[0.13383288111684394, 0.09240303951012137, 0.10664937474658445, 0.15390281348651125, 0.10423759259262279, 0.11482757289544093, 0.10249181548132523, 0.07010741523479927, 0.12252188236791235, 0.09123166755434148]"
82,"[0.1062972157368349, 0.05822579174984984, 0.1426208991474428, 0.10485047501102403, 0.1278233686101959, 0.13585298043975774, 0.13132836457857391, 0.05500102813014986, 0.09922594033574998, 0.13198214373990863]"
83,"[0.126971761560803, 0.10961397626349008, 0.08861073200731884, 0.13992993256088446, 0.12528878106418412, 0.12335120183727331, 0.11492195099754614, 0.06274170925985106, 0.1173734732799465, 0.1028808765687828]"
84,"[0.18432534628737293, 0.07985408906450799, 0.12638240775221557, 0.11717399363367247, 0.08309278583464241, 0.11329725953020828, 0.16157639037001717, 0.07729485739223597, 0.09042593277005083, 0.0923281023899159]"
85,"[0.12872698449329556, 0.12337760244018729, 0.10554982963957334, 0.09490967833926268, 0.11517432642738468, 0.12330741211032407, 0.07943319331396076, 0.12920242132574455, 0.11873005420430477, 0.07899305293344745]"
86,"[0.08089712383941926, 0.09304932037356987, 0.1052347248309617, 0.1424329768289118, 0.11123653271844451, 0.15987700690594714, 0.06050492527091837, 0.1333082451430122, 0.11537726646204251, 0.10241436017277182]"
87,"[0.1179195134199025, 0.08578007757929587, 0.09559663182479683, 0.08381031219660308, 0.10847454435968402, 0.1876507786608045, 0.09712738625750354, 0.07342649216006322, 0.12173119215595438, 0.12749521474221553]"
88,"[0.15739401421665897, 0.07419043681510555, 0.09185055935604369, 0.10740714792206041, 0.08384408034376423, 0.10857359158673245, 0.14273598320283662, 0.14964290263181687, 0.08010078095463653, 0.12032990491522857]"
89,"[0.06357136794849569, 0.1148893813858805, 0.11288710808874498, 0.08184505109517537, 0.12957420837485886, 0.10275723596430968, 0.1003245985615406, 0.146277620654605, 0.15329046707263666, 0.11393241918333218]"
90,"[0.08467188946185994, 0.12089678714394397, 0.0838537928024015, 0.10637616127967828, 0.1470624508172154, 0.0831871637896448, 0.10858519003824743, 0.11779568693352449, 0.11174414432453064, 0.12239909886029593]"
91,"[0.07920813518382279, 0.08773558827467809, 0.1139614417863547, 0.10808063203251739, 0.13617411308823812, 0.17139908811780422, 0.11389503092813244, 0.09620997203267871, 0.10551600924880523, 0.09178256882777437]"
92,"[0.12832156576689308, 0.1535939884718769, 0.04864029088825502, 0.12740827140528396, 0.12694234573420166, 0.11633919033207613, 0.0827584925105602, 0.03211247906871391, 0.11039115829520611, 0.16715889313813373]"
93,"[0.08718225236664459, 0.15175384087994245, 0.10954332467627091, 0.13027569050246304, 0.08031122239306145, 0.11351615325254036, 0.10906855635648438, 0.07972555877146703, 0.10669933221295902, 0.12528067506473034]"
94,"[0.08881628678482711, 0.142483594987698, 0.04057106027534297, 0.12170502496549492, 0.11786598417314292, 0.10078342104160536, 0.11213118481040915, 0.19113611981449524, 0.09132872600847981, 0.11672477627420637]"
95,"[0.1366311008694548, 0.11869598833263836, 0.11657358517882936, 0.10024790232235366, 0.06278184245500805, 0.09639055182609774, 0.16788563223288333, 0.10479237535311077, 0.09293954927831602, 0.12180338061075843]"
96,"[0.1135786272267442, 0.05772358656989082, 0.12772547366289347, 0.12942637412165608, 0.11477153208461789, 0.07709177480895785, 0.13608276558751292, 0.1231581988508811, 0.13047348658628996, 0.09379272800136843]"
97,"[0.14301927512735266, 0.08940266418403507, 0.11772459914639163, 0.08143221287981213, 0.11308356009032298, 0.10894102078276915, 0.07212662447046268, 0.18096615276644598, 0.09845701609018621, 0.12759350142800788]"
