,roc_auc
86,"[0.7214102189781022, 0.7477670903469598, 0.7540829110596552, 0.7288136582518605, 0.7606234567901234]"
87,"[0.7390086912251355, 0.7213796797809655, 0.7861107343100019, 0.7252099554488367, 0.7351929379545659]"
88,"[0.7385723663752892, 0.7424022542297042, 0.7464477451682175, 0.7490607580824973, 0.7350959498189132]"
89,"[0.7173428698398971, 0.7331304204761793, 0.7567268738319385, 0.7597050601390716, 0.7494207179189396]"
90,"[0.7251523108638818, 0.733053613053613, 0.7343778414257137, 0.758160911505662, 0.7644803472389679]"
91,"[0.7349496305433612, 0.7193427994163206, 0.7708053151258089, 0.7598926935133832, 0.7247674651555479]"
92,"[0.7711032687761412, 0.7080204583119035, 0.7650537634408601, 0.6791216315351887, 0.7797819577016656]"
93,"[0.7200554038500598, 0.7686646579142454, 0.7182411542425282, 0.7346425318761385, 0.7785948463400436]"
94,"[0.765117770730143, 0.7141290949604134, 0.7516981220767622, 0.7615088399808865, 0.7179931594156087]"
95,"[0.7798694954288508, 0.7352696020455287, 0.7220006646726487, 0.7604780840074957, 0.7199902273282539]"
96,"[0.7347465093797035, 0.7404931770567917, 0.7401949600155147, 0.7660768159665815, 0.7382124542124542]"
97,"[0.7421965151165475, 0.7366113064064854, 0.7364817075257531, 0.7376394581056466, 0.7575102541840065]"
98,"[0.7438887548262547, 0.7635241172397877, 0.7571882284382285, 0.742077922077922, 0.7085944620889167]"
99,"[0.727731990758302, 0.7721007385183476, 0.7593518248175183, 0.7330756929637526, 0.72648131320192]"
100,"[0.7499831337493675, 0.7324452705493598, 0.7440560849570947, 0.7547292719787378, 0.7378396511237839]"
101,"[0.7474332960730947, 0.7467804194848672, 0.7416407465007776, 0.7424616919759599, 0.7397659344414752]"
102,"[0.7212233576642336, 0.7691445255474454, 0.7472325266442912, 0.7271698770016245, 0.746260953342203]"
103,"[0.7648625459235969, 0.7662872996999038, 0.7078894113445628, 0.7484857780424283, 0.7286075440259703]"
104,"[0.7359826144491725, 0.738393548003095, 0.74327784149492, 0.7388652984194386, 0.7559595563425368]"
105,"[0.763962703962704, 0.7312283637202861, 0.7200958822745069, 0.7697287499190781, 0.7330543370476814]"
106,"[0.7523323016850255, 0.7323007021891781, 0.7483953710331663, 0.755141530296329, 0.7314190618565425]"
107,"[0.7667867981790591, 0.7411269385803101, 0.7350366426199474, 0.7122606679831717, 0.7540458549341653]"
108,"[0.7476413976200635, 0.7279208472686733, 0.7352510768867646, 0.7506146160243298, 0.75600808287796]"
109,"[0.780126496114357, 0.7460529559410156, 0.739104871182696, 0.7210272486134555, 0.7287959291020739]"
110,"[0.7191692741667852, 0.7419859802799542, 0.7623299770358593, 0.7364359778152882, 0.7559619506966774]"
111,"[0.7611441099813192, 0.7284608872122411, 0.7520759193357058, 0.751360957004161, 0.7186466051540146]"
112,"[0.7559276405456246, 0.7247687794707687, 0.7397871296729371, 0.7499126240738152, 0.7389421937929401]"
113,"[0.7486726980536874, 0.7454594017094016, 0.7469856933812237, 0.7332625264806115, 0.738031558477848]"
114,"[0.7395626524476715, 0.745949356782283, 0.7676115377138415, 0.7442531521410608, 0.7169323200526216]"
115,"[0.7517583587871128, 0.7227505242614882, 0.7491588622962192, 0.7370133196721311, 0.7472952397368496]"
116,"[0.7567437544123341, 0.7585155273206501, 0.7382095001505571, 0.7105730695745374, 0.7529401246993546]"
117,"[0.7031352612815462, 0.7478061357239161, 0.75474297827239, 0.7614780703766573, 0.7497571872571872]"
118,"[0.7533838806232943, 0.733637485034285, 0.7421998690554135, 0.7412404858109378, 0.745930030169413]"
119,"[0.7246783911415078, 0.7728643822393823, 0.7378811130419083, 0.6898983244003631, 0.7791603821015586]"
120,"[0.746704488091414, 0.7138153043280957, 0.7230715328467154, 0.7480226396482554, 0.7876659340659341]"
121,"[0.7206660336408031, 0.7805107144550325, 0.7399569245294153, 0.7451017429380957, 0.7236051883439942]"
122,"[0.7596344111969112, 0.7536304775118511, 0.7308934937611409, 0.7415641753390098, 0.7246551563446573]"
123,"[0.739403399236906, 0.7256745328374982, 0.7168677877849704, 0.7709677419354839, 0.7600820512820513]"
124,"[0.739398934379607, 0.7524536532170121, 0.7437684773532532, 0.7373861566484518, 0.7553366174055829]"
125,"[0.7232489666496801, 0.753112457261781, 0.7288793507833755, 0.7621219313712193, 0.746661058250174]"
126,"[0.7712812160694897, 0.7351081049832351, 0.7383415781853282, 0.7624468864468864, 0.7142295958159379]"
127,"[0.7166233659843884, 0.784357220064379, 0.7282626752608147, 0.7457891012031139, 0.7376687988628287]"
128,"[0.7495038079852296, 0.717704097591492, 0.7375633278398339, 0.7360105063475849, 0.7762276817194596]"
129,"[0.7211611853182176, 0.7500202335530118, 0.7333650190114069, 0.7785184673482546, 0.731542130556909]"
130,"[0.7528620143709658, 0.7484655362305539, 0.7337051094890511, 0.7372351206145937, 0.7500624938232849]"
131,"[0.7215355477855478, 0.7717766180724941, 0.7284196323157361, 0.7584084308853027, 0.7337176210415647]"
132,"[0.7357831982174181, 0.756605842128735, 0.7522271842436734, 0.741009476458815, 0.735504459308807]"
133,"[0.7385303311631841, 0.7415502351238922, 0.716135132186625, 0.7482122280704802, 0.762526480611587]"
134,"[0.7524215294368096, 0.7420075046904315, 0.7159598214285714, 0.7690843176374347, 0.7429842719000589]"
135,"[0.7590200458809258, 0.7047002685867764, 0.7438141698337966, 0.7310236778923014, 0.779071902392798]"
136,"[0.7600872410032715, 0.7561174551386622, 0.7491248408801601, 0.7225362318840579, 0.7429062014337996]"
137,"[0.7243292053663571, 0.7506826747308795, 0.7475219127162591, 0.7727500589761735, 0.7209484745965689]"
138,"[0.7505574228759692, 0.7738841450434042, 0.7184362934362936, 0.7480029304029303, 0.7179362961243908]"
139,"[0.7333037736527377, 0.7229509663564782, 0.7596330012595902, 0.7441525627881701, 0.752603663003663]"
140,"[0.7741682038669127, 0.7433946664790317, 0.7335548880005677, 0.7430380855099956, 0.7210373636574612]"
141,"[0.7312355376933383, 0.7558527476031063, 0.7377112406524171, 0.7356832362251686, 0.7559469193008211]"
142,"[0.712283103399232, 0.74356672479464, 0.7555361726241402, 0.7559052282874837, 0.7534648646402773]"
143,"[0.8002142459654981, 0.736884121389881, 0.7358629123804843, 0.734035004730369, 0.7034753258117948]"
