,r2
51,"[0.18568962100096564, 0.11994851547733565, 0.1807698306040234, 0.15229348490433647, 0.18728897976891623, 0.12778902528453517, 0.19544761391876098, 0.18759259939530715, 0.1458918377245484, 0.07517942656784171]"
52,"[0.13377039294009174, 0.17791264610712276, 0.11741167340251601, 0.1932951034361311, 0.1565281637729098, 0.12746114769072692, 0.10067298129570046, 0.17724012808938672, 0.18201698617519835, 0.1780626550763097]"
53,"[0.14530661877726625, 0.23408261176541767, 0.16773221192103138, 0.10622848846377808, 0.09209493727804874, 0.1256082297217579, 0.11907711116174635, 0.22210541344559642, 0.16339880150027486, 0.18419621484403403]"
54,"[0.16765657193977845, 0.17531205057997, 0.1888488768223261, 0.12330005143020539, 0.18398777245883757, 0.05757432722982836, 0.17141010092514175, 0.2284135428980555, 0.12252621498389415, 0.1313725771247488]"
55,"[0.10865884411262139, 0.14784837996464661, 0.18940775476784033, 0.1632934373183491, 0.16906433994730574, 0.1710950269887609, 0.2028131260323357, 0.14077033956500995, 0.1314515212198354, 0.13096688976436688]"
56,"[0.21056015852886156, 0.10791093585407552, 0.14712483901273188, 0.1562896649589237, 0.1324267564327004, 0.20028752115018134, 0.19587087957499827, 0.12635905488512578, 0.11833881089228604, 0.15905095376780642]"
57,"[0.07459678929546054, 0.14963356001049588, 0.20227259452442758, 0.15081121657867846, 0.18605647423062377, 0.19405347196851463, 0.0975213233483071, 0.16884488089190597, 0.06752932299363701, 0.24989341146808963]"
58,"[0.21856633186945063, 0.1894175201561643, 0.12660592728783304, 0.1440852565624946, 0.17690399686048963, 0.14272588665074148, 0.11870384380714416, 0.1761649719366254, 0.12195916204648316, 0.145147279142384]"
59,"[0.16085708656323372, 0.1364059157438956, 0.16366522803236272, 0.1766917272658427, 0.17957547658716932, 0.1480926602482231, 0.13606975272226063, 0.15219806437235295, 0.16060316856870238, 0.14769622287544315]"
60,"[0.1561210168626187, 0.13326144779731086, 0.1744365604283442, 0.19041958549315852, 0.04990313363437171, 0.16339346560803947, 0.13129022330234696, 0.17419887399347755, 0.13276547493292012, 0.24694234090776146]"
61,"[0.10095459483089142, 0.24990956146745347, 0.16924968529320272, 0.11321029429590124, 0.11109332469027, 0.19398564910476968, 0.14927542561519003, 0.1263822685678352, 0.17263544479722925, 0.15946226244802175]"
62,"[0.2260551543451198, 0.17406603297790413, 0.17694023699164452, 0.14521185087783184, 0.19615185089728704, 0.10986554235186141, 0.11891223991168698, 0.1750216806197823, 0.0873486737576522, 0.14011274370504412]"
63,"[0.1673507563778407, 0.14181651937853545, 0.12210210911341435, 0.18402849417092448, 0.17984751073856164, 0.11220193104605614, 0.14950716931029362, 0.16530073851571492, 0.1824203751923803, 0.15675007045745148]"
64,"[0.19127159673472915, 0.20343870653345353, 0.10755873177542818, 0.06733963356636152, 0.11601123435323835, 0.15138357822285542, 0.17620916877652748, 0.16513157441735826, 0.22289295881998517, 0.16076512583250435]"
65,"[0.17242117145176394, 0.15426319330861937, 0.14025352872015506, 0.1277496517722564, 0.17811539739676585, 0.1585406167301463, 0.18007752835071866, 0.1489562745393942, 0.1334049714049912, 0.16227093030465445]"
66,"[0.13224107008163233, 0.1598540159442866, 0.18332374716752586, 0.17050794201443575, 0.19426873475492545, 0.04204077238789394, 0.15742520571573604, 0.2123342341176674, 0.1272886208307875, 0.1669064336870073]"
67,"[0.11777289922833434, 0.19004612223525796, 0.19192014830037463, 0.19990190852681988, 0.16421188972932377, 0.10947618283473237, 0.10293289985732457, 0.14817161699746018, 0.16754078603700018, 0.16887138738313523]"
68,"[0.14350681326949444, 0.1292010167927794, 0.18255947440811915, 0.17667226865823893, 0.16390087243841034, 0.1981485770317506, 0.15779207023993336, 0.1623778501467502, 0.13680315227676432, 0.1049835249534411]"
69,"[0.259493549003217, 0.12521725338947198, 0.12392024565678605, 0.19914291184103494, 0.13048588045505727, 0.12103220158193895, 0.08256503240714586, 0.20891963008007308, 0.13971426472755089, 0.1619031597559858]"
70,"[0.16545207703327447, 0.13342904763373242, 0.12529681361617695, 0.11242912779533554, 0.22496044282923866, 0.18143765825867486, 0.1879183585225297, 0.11764171609998841, 0.0820253079144545, 0.20977210212207764]"
71,"[0.18190842928900186, 0.1871502896289211, 0.158686532444562, 0.13391377566179485, 0.1894007508414116, 0.15632955932069592, 0.11603712833662838, 0.16051208582450982, 0.12674122039294622, 0.14301373011572627]"
72,"[0.17061620962738233, 0.09788963808118278, 0.1394064181532828, 0.21332307887143576, 0.17188903476574768, 0.1512946912618366, 0.15305882710930396, 0.16150166647670916, 0.20306257876558087, 0.0868799193869968]"
73,"[0.1275504716079614, 0.18638737654575788, 0.15880087715920455, 0.15993672379388912, 0.19723217293868223, 0.12641049745231903, 0.22812574157722898, 0.09760838729161936, 0.10716413485247278, 0.1560586548938483]"
74,"[0.11161425484384158, 0.19620940531249598, 0.11164316954384301, 0.14915095344292395, 0.16766513394045712, 0.25483287354620965, 0.144616012948243, 0.10542470357975386, 0.16652839240421935, 0.14104824833474172]"
75,"[0.1535606406337583, 0.15197549220718476, 0.18733149648631797, 0.21608364480904863, 0.166619681394106, 0.09275932016040689, 0.13672416976591073, 0.17151217157214294, 0.10470384376319264, 0.16971299397155837]"
76,"[0.08812913689285984, 0.15189318198016377, 0.16936929141657453, 0.18165379789160718, 0.15054507017109053, 0.21669969677158263, 0.1286896124410356, 0.16200666395072494, 0.15574979652213483, 0.15010677087217061]"
77,"[0.15730342148618504, 0.1155150009739071, 0.14330943390787942, 0.19383151962478984, 0.15768399918509013, 0.1734131435482933, 0.1533505760891084, 0.14288132892269811, 0.17732618487232132, 0.14423211345637188]"
78,"[0.0857897146469031, 0.11031585944947175, 0.2109618602214539, 0.18463447345068407, 0.099642983368465, 0.14592500355159654, 0.2065286192932081, 0.17546685681252472, 0.2028407356254157, 0.13349012391507065]"
79,"[0.2036198297702917, 0.09707066854020607, 0.23144320460937262, 0.11081633936791424, 0.201837581075056, 0.09158473844677062, 0.11840181916247305, 0.15273308526225637, 0.146223518934395, 0.189254737396932]"
80,"[0.13384308975395554, 0.17549797346612184, 0.13555619997106672, 0.15033628743697536, 0.1558338050893846, 0.15614836406097, 0.1671658891178064, 0.1747151070916112, 0.14807727613907573, 0.1563929804962827]"
81,"[0.18554088841698724, 0.14707873606814958, 0.15668544652353766, 0.09675947079114433, 0.16883719350340365, 0.16552835356595919, 0.1282258250998285, 0.1421639592110595, 0.20253088992562562, 0.15709005852950875]"
82,"[0.11545015440140682, 0.1606191400944913, 0.09751862703320535, 0.23245876805166032, 0.10745873172616427, 0.18753338712347756, 0.14797488207665976, 0.1822749180394625, 0.14380152423072456, 0.18144351931701086]"
83,"[0.16171908714957017, 0.14304495361237102, 0.16151234494272704, 0.16209333926426361, 0.2129670882150635, 0.12516019398489353, 0.10864048088338962, 0.16729471472839685, 0.1703742823157388, 0.1476100467821757]"
84,"[0.1567934566268806, 0.13988094131634898, 0.1518612886919105, 0.17983663516598625, 0.16048734618229066, 0.176857569631382, 0.1193377672697905, 0.21443968633303034, 0.10792583582728654, 0.1478780998253686]"
85,"[0.18449865399032772, 0.21414706738195255, 0.1258586286197113, 0.10617377534194894, 0.15150504137312304, 0.1708721257561251, 0.14207552341656948, 0.1983569540079161, 0.1411489867925516, 0.11426544308342501]"
86,"[0.1735452793373654, 0.11601546800187101, 0.22090844485015249, 0.12555334878425028, 0.1994354029333456, 0.1486723714167405, 0.14578448202712146, 0.13431575814889785, 0.1449104206457381, 0.14157840773684405]"
