,r2
168,"[0.035580148372131415, 0.03077444370813387, 0.03246658346043507, 0.03177538805244706, 0.031059405912261417]"
169,"[0.03191340584870528, 0.030353417636891256, 0.030538071963016833, 0.03085088510610412, 0.03785462898074077]"
170,"[0.03539572220451026, 0.031945826030958635, 0.03062334798718358, 0.03343191377868293, 0.03039610039671148]"
171,"[0.03344422287482607, 0.031093526817772776, 0.03084086692422572, 0.029372527769886303, 0.036697148304750016]"
172,"[0.0352263612700352, 0.03428418706291769, 0.030480477046629928, 0.031844004141489135, 0.029866202363330707]"
173,"[0.0350982586162949, 0.03268471427834885, 0.029971250159765317, 0.03391939149327605, 0.029998339205958402]"
174,"[0.03217228390496618, 0.034314646506182434, 0.033547773827456995, 0.029516479358397074, 0.03210605671007938]"
175,"[0.031248482860731563, 0.03782513394789744, 0.03244134428563572, 0.028983822224485922, 0.031144056384182273]"
176,"[0.029212271302321735, 0.03163184249376816, 0.03348954627987799, 0.03362649644556348, 0.033723925214376727]"
177,"[0.029797761082449803, 0.03555904060144066, 0.033635374309205934, 0.029808170593515926, 0.03286507827582752]"
178,"[0.0353575729698572, 0.03267550784628215, 0.030964956475402428, 0.032666820670511076, 0.029992560424623504]"
179,"[0.030389487110464297, 0.032859441409375245, 0.03494162247798782, 0.0326025845090534, 0.030844681658529494]"
180,"[0.03187850111053914, 0.03700832900181639, 0.029460193772306686, 0.03183732743218215, 0.03131548909146109]"
181,"[0.02912326060857018, 0.03290856945645204, 0.033926191152451546, 0.030602409004760744, 0.0351058837416417]"
182,"[0.032436413842224066, 0.03386526213868901, 0.03180611152436119, 0.03252914767945181, 0.03111239566962387]"
183,"[0.026581477980739843, 0.0314042751303657, 0.032444268047019276, 0.03524695101203468, 0.03582418468572712]"
184,"[0.0324771587332946, 0.033067507107131355, 0.03286237944878945, 0.03187918574672299, 0.03128782399538299]"
185,"[0.03275488610439736, 0.033704933493629685, 0.028050828823165008, 0.03408118084124934, 0.03305698252685474]"
186,"[0.030614634808620145, 0.03169304178000765, 0.029236079660444503, 0.03445831803755772, 0.03553995305850621]"
187,"[0.03367228457425642, 0.03200430719071279, 0.03190232043013885, 0.031925114389034004, 0.032109015727536216]"
188,"[0.03154077950795198, 0.03253585438000128, 0.030156024087163447, 0.032918693987140646, 0.03465033165147602]"
189,"[0.03168074702979118, 0.03434648810826846, 0.03390157059116716, 0.03183077250710331, 0.030084528673373634]"
190,"[0.030531356505557494, 0.03211515631767181, 0.034141797252206896, 0.03230409709225668, 0.03263757695056202]"
191,"[0.03299366249862479, 0.033353971192989995, 0.032556695527913626, 0.026071170461217208, 0.03661977350549417]"
192,"[0.030623533815448467, 0.03293042121695211, 0.034517466179216694, 0.03215589859879919, 0.03157511695833082]"
193,"[0.03246280119725131, 0.029647688798540406, 0.033342620986603566, 0.03365931081985041, 0.032567435444189496]"
194,"[0.03117028806888078, 0.03147188629414055, 0.03174316240787489, 0.033873891102898734, 0.03342214972178148]"
195,"[0.033943568544782754, 0.03044365787893366, 0.02901957525267529, 0.03499300372147918, 0.033251611856833896]"
196,"[0.029669111520209124, 0.034334857709420685, 0.029926040544646093, 0.034571422120940665, 0.03317261363879842]"
197,"[0.03092639734051572, 0.03410815874397932, 0.03396806872833369, 0.03135860332513474, 0.03142491446772522]"
198,"[0.032412856711389826, 0.033087571687399286, 0.030684278136082987, 0.03340693202970224, 0.03212491639940562]"
199,"[0.03412116717035918, 0.030771964193041512, 0.030636885189577634, 0.032173259371338525, 0.03397908064795263]"
200,"[0.03306498588291795, 0.03459635571290243, 0.02748892648908463, 0.03408058238823375, 0.03228344789640403]"
201,"[0.033515717871980155, 0.0327524950834025, 0.027820521706535484, 0.03346116991132053, 0.033980634281563615]"
202,"[0.03262081356982238, 0.0329970217652753, 0.03329910166817218, 0.032059629958560265, 0.030766418233407644]"
203,"[0.030972422218815576, 0.034751288591506446, 0.028915242191955293, 0.03318545826356012, 0.033707681296054615]"
204,"[0.03541023319705627, 0.031365728838229856, 0.032990884048633595, 0.02985446631289712, 0.03208587100035176]"
205,"[0.030761226795882224, 0.03266673240354434, 0.031426077823133225, 0.0328109322435044, 0.03411857298479426]"
206,"[0.03259259266906411, 0.03183686670418373, 0.03232809893257815, 0.032565799064826706, 0.032307457119671756]"
