,imv
76,"[0.06570625965368804, 0.10765242774212175, 0.11633496726220305, 0.12161130540561654, 0.10695823516039117, 0.14320941528478817, 0.09244713316536135, 0.11447264402224964, 0.10904133566587898, 0.10592138508512058]"
77,"[0.11177237192245046, 0.08580464538175164, 0.1006008451365624, 0.13121731901402922, 0.11194380250366831, 0.11650545632443206, 0.10748140666990064, 0.10379555830372389, 0.12078189095123064, 0.09916034825696533]"
78,"[0.06580949562228985, 0.08256726894152458, 0.1418682413754847, 0.12409469904472398, 0.07531187800114023, 0.1029708517192959, 0.13731154733451323, 0.12008120192969839, 0.13294629980264677, 0.09559223761362406]"
79,"[0.13372912990988722, 0.07038630249115, 0.15140016533886347, 0.08260647040992981, 0.13513777144005445, 0.06893478674140835, 0.08748141753393213, 0.10806598947983671, 0.10399627300002069, 0.1274800178431083]"
80,"[0.09962997222291246, 0.11851666561787202, 0.09781023766850637, 0.10935361444963962, 0.10907073192869872, 0.10837334769183339, 0.11325786474344339, 0.11889237925644934, 0.10220275147802113, 0.11005149759978076]"
81,"[0.12534702376356316, 0.10050720890759217, 0.10836617788461396, 0.0747013104925855, 0.11632024703929003, 0.11408598808271281, 0.09311752812051906, 0.10263843256263204, 0.13649020047330965, 0.11072153653827253]"
82,"[0.08579946031945765, 0.11286791799293765, 0.07218657591596467, 0.14958605196200692, 0.07875691744299355, 0.12890157934473942, 0.10278429627905517, 0.1235339122951305, 0.10330361981255651, 0.12335867841468352]"
83,"[0.1118815509104192, 0.1031246922181482, 0.11081083745794794, 0.11265147770480763, 0.13974135546952537, 0.09036624828740188, 0.08260695172474683, 0.11615605929076714, 0.11745517807065035, 0.10413910524342726]"
84,"[0.10967979422621021, 0.09481924795265127, 0.10604595362444084, 0.12453612376473651, 0.11439823284863744, 0.12063525477381973, 0.08820885394017548, 0.14130865323775818, 0.07860644549418241, 0.10498565290451543]"
85,"[0.12538883021007927, 0.13918984243053908, 0.09065910325025106, 0.08004636852947164, 0.10753116447071025, 0.11900532985969242, 0.10099559011072723, 0.13139344850454038, 0.09912573234310644, 0.08513193048865636]"
86,"[0.11804371289605649, 0.08247813119768407, 0.1444785475826381, 0.09033503075800886, 0.13367822824686665, 0.10728184028513277, 0.10378962010371026, 0.09331423601587364, 0.10389728697804422, 0.10366781470806663]"
