,roc_auc
48,"[0.7046426871784707, 0.6898261573876885, 0.7006120985230347, 0.6989584916784822, 0.6955869986737733, 0.6973744303410789, 0.7022711077537425, 0.7005040417202949, 0.6983290124577243, 0.6932055168105598]"
49,"[0.7020372661499975, 0.7065397418865194, 0.7034972269597265, 0.693055721990412, 0.6963964213940375, 0.7003328087782837, 0.6884293318588481, 0.7002862710804059, 0.698714465177607, 0.692997481155443]"
50,"[0.6974696530718358, 0.7039570925966627, 0.7055129298712712, 0.7092047026582047, 0.6955885739914167, 0.6980921078329351, 0.6820181976335951, 0.6958807295868933, 0.6909259305144926, 0.702981516798643]"
51,"[0.6985837612916, 0.6973569838116727, 0.70365084085916, 0.6944319458147388, 0.6980642333363036, 0.702146485146734, 0.6952820907230789, 0.6942730793432202, 0.6948772909354294, 0.702550113485884]"
52,"[0.7116320356160161, 0.6960118259776471, 0.6962160679530471, 0.6997004072709108, 0.7041634728274231, 0.6964063590606704, 0.6889182568855138, 0.6918494826575142, 0.6932519215504304, 0.7035145082525412]"
53,"[0.6984453285512441, 0.7006627946963058, 0.7032271575900013, 0.6841070188908642, 0.6989969212573072, 0.7008451501980478, 0.6884184953077961, 0.6987073624390415, 0.6984072892336499, 0.7098758769033482]"
54,"[0.6923942293145676, 0.701528965170299, 0.7003418294012164, 0.7012573931200549, 0.6945701243251581, 0.6976847860761315, 0.6973898838893744, 0.6957861878291812, 0.7012459940601933, 0.6993693542262265]"
55,"[0.693690043841771, 0.6917429830131364, 0.6960037133187741, 0.6946874242020253, 0.7004250760860262, 0.7056926568170605, 0.6918412701225946, 0.696544664686058, 0.7038394731342623, 0.7068627523822008]"
56,"[0.7024620889140513, 0.6942525139572688, 0.6931919619975637, 0.707086286312411, 0.6980576778357929, 0.6989989369375196, 0.689651446943329, 0.6961853424492682, 0.6966961859790799, 0.7050639488015752]"
57,"[0.6911018196525879, 0.7102938010079454, 0.6982732693619387, 0.6995006551777858, 0.696871191261013, 0.7061269859648186, 0.6852081296051143, 0.6982534939047192, 0.6996446581341288, 0.6964506196163599]"
