,roc_auc
85,"[0.7020786213167538, 0.7007818441482458, 0.692300785780514, 0.696912797164129, 0.6925636095537551, 0.7023121932409456, 0.6890691847198687, 0.6980593023058572, 0.7054119242714362, 0.7017729652429353]"
86,"[0.695342838685794, 0.6864593373706768, 0.6936022542517197, 0.7034864175095555, 0.7010979552289459, 0.694559923881541, 0.7024440206685528, 0.7038789654641314, 0.7024804185344132, 0.6981835751291176]"
87,"[0.7030286967808224, 0.6936364285649242, 0.6957679830477179, 0.6975241504614756, 0.6962618270815027, 0.6901664208271874, 0.7014668132714622, 0.6930822961929063, 0.7024303327992161, 0.7080141454438558]"
88,"[0.6946394369567784, 0.7049548282090846, 0.6961162663199105, 0.6982482735274046, 0.6990198124103009, 0.7020366713204119, 0.6982753227978113, 0.6972723236484066, 0.6971096158630941, 0.6941823023604611]"
89,"[0.7009396599317506, 0.6945124432485948, 0.6958477353084476, 0.7014994089380426, 0.70158120407466, 0.6885809967783911, 0.6998429145507766, 0.6930935725093544, 0.7045738100304026, 0.7004976406939839]"
90,"[0.703004017243165, 0.694163284055724, 0.703232662538596, 0.6934570879335925, 0.6985257973638934, 0.6940927630324363, 0.6998477695019827, 0.6996047889266102, 0.7043882165921246, 0.6913227590503497]"
91,"[0.7030776116364463, 0.6942369652576446, 0.6952755225649673, 0.697204015935042, 0.6987632589737826, 0.6943381901701787, 0.6980308235282743, 0.6989388705008781, 0.7047506906933854, 0.6971542870319776]"
92,"[0.6959212394820145, 0.6995731190255401, 0.696620839544273, 0.6948972105014024, 0.7003460106732973, 0.705012167201121, 0.6936304814448264, 0.6934821406227097, 0.6999182464706972, 0.7026246134414551]"
93,"[0.7024303429757386, 0.7032355909571429, 0.7037074194933424, 0.6979316316584471, 0.6965602509588024, 0.7022190764093588, 0.6984324320801811, 0.6879420345308298, 0.6900347954144672, 0.6984457741541981]"
94,"[0.7084791855170374, 0.6983444708440452, 0.7029493264077226, 0.6860118316767998, 0.692627871574017, 0.6960782634574209, 0.6931362807004788, 0.6933206384248947, 0.7036989139380277, 0.7063843991079698]"
95,"[0.692953916890927, 0.6957912152463219, 0.7028651704071136, 0.7006246824652045, 0.6940725444892555, 0.7029991196423984, 0.6911023960844653, 0.700091866538131, 0.7044611394375798, 0.696853235404869]"
96,"[0.6978650620485536, 0.7018725682053539, 0.7075616680699245, 0.7004918325708791, 0.6989907208487947, 0.6885372819493044, 0.6962882136928857, 0.6945236410582432, 0.6994261681031385, 0.6953795308927976]"
97,"[0.694964209714601, 0.7015404006490705, 0.6968504179031527, 0.6994788987430911, 0.6916559409433262, 0.6924154223040471, 0.6973196405202368, 0.6971468602605524, 0.7023181126838463, 0.7076720394447341]"
98,"[0.6943715742468549, 0.6989957045854673, 0.6986166843792394, 0.7037285353488524, 0.6890934566367295, 0.7017111142102339, 0.703216535321928, 0.6958714599874567, 0.6986863554001269, 0.6973316754625647]"
99,"[0.6947170383390875, 0.6983689535914618, 0.6916732544122673, 0.694093011252897, 0.702852111597653, 0.698594380620385, 0.6889475896346962, 0.6992954789676534, 0.7097057939342222, 0.7034704837777572]"
100,"[0.700156987910712, 0.6983831985908764, 0.6914959587438578, 0.7058138915194287, 0.6899198023386709, 0.6946154441860888, 0.7076645812711989, 0.6951399357671889, 0.6910194065749906, 0.7063708427582118]"
101,"[0.6982083419588911, 0.6895610286043382, 0.6967839331313763, 0.7057629761012119, 0.6844913567825847, 0.7029931314579007, 0.7038495630353625, 0.7033929949831008, 0.7033194771788112, 0.6946001038578721]"
102,"[0.7045019181584631, 0.705460998058417, 0.7046560522473965, 0.6990810125870137, 0.6979359508707379, 0.6879850205881226, 0.6984003899244348, 0.691857251807253, 0.6944346121872185, 0.6975143464641569]"
103,"[0.7007255284905081, 0.7091486194928586, 0.7061376367708339, 0.6889804654036266, 0.6882580800688418, 0.6917839980834267, 0.6981792305803859, 0.7006793809258683, 0.6974909534952729, 0.7003536819977052]"
104,"[0.6949635609354489, 0.6927372802715391, 0.7050921308973161, 0.6997885425210689, 0.6983942713921176, 0.6960171709691169, 0.6952595420169128, 0.696428653311542, 0.7025118688973733, 0.7009375003113812]"
105,"[0.6924647122436643, 0.7040406816455448, 0.6961346568000057, 0.7056449038957219, 0.6962455257176694, 0.7029821784039416, 0.6887771391559566, 0.6951152865752219, 0.6939450302564001, 0.706111626918313]"
106,"[0.6963364623455548, 0.7003919670832008, 0.7019333639939889, 0.696540582961839, 0.6928036047504132, 0.6929582229385591, 0.7020526087197926, 0.698520992163895, 0.7056750285534601, 0.6942254666629044]"
107,"[0.6912249384353286, 0.6969379548137903, 0.70228806332282, 0.700335251348228, 0.6874228314972758, 0.6993281774747536, 0.6976486205019369, 0.6975792294464602, 0.704872321020657, 0.703436364164289]"
108,"[0.6987054858940283, 0.6960277993545657, 0.6945634356095117, 0.7027923838664387, 0.7020049868681061, 0.6994743972943313, 0.6906704789499547, 0.701677556607576, 0.6929263927894156, 0.7023852306541638]"
109,"[0.6867206401339154, 0.7002571666845947, 0.7017341563972453, 0.6866341208853378, 0.7030082114299433, 0.6965213495618725, 0.6981180361980801, 0.7039228836700749, 0.7074565687948016, 0.6967098473007987]"
110,"[0.6965839242816039, 0.6885438034736375, 0.6996395167647851, 0.698836915549112, 0.705512849588151, 0.6930988802216758, 0.7029235195805493, 0.6976071898651406, 0.704021935129735, 0.6944146878127629]"
111,"[0.7065256662081505, 0.694147413332399, 0.6943138894055891, 0.7046628859981153, 0.6920196732592577, 0.70678380470989, 0.6988949098014966, 0.6910908274352564, 0.6926511073299272, 0.7012292041783957]"
112,"[0.6968407300136451, 0.6937743244045662, 0.6941512984838816, 0.6956150685807835, 0.7011697273126254, 0.6963008644689069, 0.7015885486047895, 0.7019295791677816, 0.7009924928089262, 0.6984997381412084]"
113,"[0.7072573618029908, 0.6925296916388874, 0.7023645881002097, 0.7021500557140304, 0.7015594357004148, 0.6958614567822332, 0.6959211719765606, 0.6884279772461596, 0.6984284113730593, 0.6971278471612082]"
114,"[0.6968921722557426, 0.7002336528820097, 0.7016418945918277, 0.7037424378802409, 0.6909065132084453, 0.6939835841831599, 0.6996326373403675, 0.6956219320884661, 0.7056962370427167, 0.6929574282060038]"
115,"[0.6900769188686837, 0.6918165175206191, 0.7019018105091057, 0.6957109018024158, 0.7067519543138701, 0.696289520134873, 0.7017245088500074, 0.6984498847946945, 0.7003903409154989, 0.6972490595574534]"
116,"[0.6992161984238947, 0.7033579564684295, 0.6936043158451503, 0.6949853508508345, 0.6948185255564381, 0.6994354587078955, 0.6948949554871363, 0.6984665728923829, 0.7025565400397541, 0.6998030798502025]"
117,"[0.6898195583486451, 0.697629636208611, 0.7055257889534359, 0.6972948540927253, 0.6964218866092423, 0.6973922150435625, 0.6956588198898912, 0.6983472275722389, 0.7010272411490978, 0.7017128974854597]"
118,"[0.7036428919605594, 0.6964138662916215, 0.6994221949880574, 0.7034022109348022, 0.6925400194856072, 0.6950890161801961, 0.6967419609130536, 0.7027352229772069, 0.7039541539905957, 0.686765876019181]"
119,"[0.6948501436855924, 0.7022925707175667, 0.6990422194704791, 0.7002085546449461, 0.7023630352353467, 0.6940402449579913, 0.7072323584253682, 0.6947926451793143, 0.6968300266306943, 0.689714401373993]"
120,"[0.6915732021600769, 0.6982296815672975, 0.7014797361224899, 0.7043781516164933, 0.6894923834572495, 0.6911819966200721, 0.6938745909746156, 0.7034335540295473, 0.7053926164174557, 0.7020801117596709]"
121,"[0.7049403085567183, 0.6954602757288828, 0.695055720648088, 0.7062382349398542, 0.7057630080912054, 0.6980127482243512, 0.700822437026543, 0.6932173160565422, 0.6849668156636594, 0.6968903365928404]"
122,"[0.6973848723697897, 0.697840934143434, 0.6990220460065992, 0.6872067563048446, 0.6986422366629277, 0.7055688196847963, 0.7038574770665051, 0.6959045111366501, 0.6917436440625798, 0.7050416978283414]"
123,"[0.6998243324015107, 0.7040672802374232, 0.7044794813792684, 0.6968677011214807, 0.6958213877641216, 0.6896980306903382, 0.6944872308401913, 0.6966676730427782, 0.7012664049911923, 0.698588356486898]"
124,"[0.6974696545284781, 0.7000834944033696, 0.7033928265732108, 0.7022434560172608, 0.6919683175324223, 0.6831098128723605, 0.7086992879754875, 0.6997161400314716, 0.6974967969671182, 0.6964037146418426]"
125,"[0.6941946531577625, 0.691164825146483, 0.7056167210432948, 0.7037117251410181, 0.6939466786427351, 0.6999181256479826, 0.6975385131162881, 0.7005819857978599, 0.6995827590962259, 0.6951545506710618]"
126,"[0.6929780168016859, 0.6993455701842644, 0.7029843727189252, 0.69828902414776, 0.7095253170923027, 0.6933873601522156, 0.6906229825999595, 0.7036948028980567, 0.6944185295016246, 0.6959123365284295]"
127,"[0.7009078723619208, 0.6982604993623664, 0.6899847771017371, 0.7015515573966861, 0.6992598546892049, 0.7020843369271379, 0.6999899087930952, 0.6952984681344121, 0.6978097157798957, 0.6961695960549275]"
128,"[0.7076989479170989, 0.6938592991321823, 0.7051393494348832, 0.7040307563042761, 0.6906517796724027, 0.6889382209877591, 0.7045467565654603, 0.6952891692286503, 0.6915956092655374, 0.7012855564369388]"
129,"[0.6921937214725229, 0.6937991420671252, 0.7034117106577449, 0.7073688597000386, 0.6960427600077284, 0.7037251918473355, 0.6852112787018155, 0.6984491390712668, 0.6916041951859372, 0.710078840867059]"
130,"[0.7059081167933243, 0.704201464414472, 0.697997401338814, 0.6883363628988968, 0.693634943551044, 0.6972897071512849, 0.6904219297361698, 0.6949783571084054, 0.7042707711873407, 0.7038594497436594]"
