,roc_auc
56,"[0.6761002286271661, 0.6686483678374505, 0.6726204291296006, 0.6780944354895986, 0.6761799478716042, 0.6757082514629708, 0.6636677491474717, 0.6727395267753062, 0.675150330829736, 0.6815190294130299]"
57,"[0.6692614433298136, 0.6863650392506507, 0.6746025782293209, 0.6763200421861892, 0.6705753717400073, 0.6799544498038333, 0.6626971446473368, 0.6734792042363279, 0.6765708390471081, 0.6702626373849154]"
58,"[0.675943668384359, 0.6793782921301362, 0.6799315600298895, 0.6770506990242781, 0.6653264133518365, 0.6693914410840553, 0.6716594036502952, 0.681636466843813, 0.6708492181841328, 0.6690772274420466]"
59,"[0.6706292457874872, 0.6797672911722159, 0.6742734594169757, 0.6780499134719331, 0.6710051020498033, 0.666711607861073, 0.6774731293030346, 0.6749240928426663, 0.6815552294699398, 0.6661573892549839]"
60,"[0.6786894697360961, 0.6775540062016489, 0.6788254010354677, 0.6735928359383941, 0.6689526220540221, 0.6821694417468328, 0.6691445202580311, 0.6750029449814274, 0.6647285020255683, 0.6715033488072719]"
61,"[0.673485355692832, 0.6703036544155137, 0.6836897912461696, 0.6630642163573757, 0.6843673548858699, 0.6648551890845142, 0.672254959976127, 0.6718177208035576, 0.6734360485462064, 0.6829563501521284]"
62,"[0.6742707491442574, 0.6739643112741225, 0.6826889152242857, 0.6692168078166407, 0.678360886622546, 0.6642019997399954, 0.6727133093130836, 0.6838100374664108, 0.6756107723013058, 0.665487731346112]"
63,"[0.6730133778153401, 0.6672424354290918, 0.6837542430749446, 0.6748841651231432, 0.6680672662994485, 0.6757873623714888, 0.680232100673457, 0.6711562145082524, 0.6770130601412695, 0.6693729134670496]"
64,"[0.674096315628936, 0.6774897495851466, 0.6731436025605967, 0.6702935033773265, 0.6782527117844783, 0.6724337426392941, 0.671562714557582, 0.6765972980914471, 0.6719562923119672, 0.6745318098724146]"
65,"[0.6716869603595057, 0.6770602735052873, 0.6754134945504633, 0.6755422438541229, 0.6703590266036921, 0.6858467415866552, 0.6735327014787231, 0.6765605981841554, 0.6641791839872274, 0.6697933945445974]"
66,"[0.6739521173168015, 0.6798295139492245, 0.6733476674830051, 0.6677405036538381, 0.6697003304571514, 0.6822162109755459, 0.6745245795767758, 0.670111638176177, 0.6714712996538891, 0.6777207392364982]"
67,"[0.6702421489301122, 0.6809192070154242, 0.6681628022778058, 0.6709776497564596, 0.6859565643794913, 0.6647136057088713, 0.6683434508071155, 0.6798802827596202, 0.6742624961633662, 0.6767164204075784]"
68,"[0.6808122760881183, 0.6702261506033812, 0.6688859320938401, 0.676169669718449, 0.6772176236768263, 0.6702055352794066, 0.6723400225890562, 0.6651789055107044, 0.6769564643428487, 0.6823934758260098]"
