,roc_auc
49,"[0.6772302694847074, 0.6926319744499227, 0.673839288218813, 0.6774402419151296, 0.670970867549598, 0.6760996883619622, 0.6679498806758215, 0.6619726184828161, 0.6711995184905454, 0.6713502170518061]"
50,"[0.6744225228488774, 0.6703350127782141, 0.6804256528028875, 0.6748333071975022, 0.6743853087195081, 0.6670835759459008, 0.6764125695755657, 0.6720066490466864, 0.6831335677952544, 0.6669789008629367]"
51,"[0.6711284892490955, 0.6742633538901909, 0.6809769858593627, 0.6776893969317808, 0.6656030256828577, 0.6816142431377529, 0.6691051423034245, 0.6829610246829416, 0.6658566909444644, 0.6713034359716746]"
52,"[0.6770123596758822, 0.6766598544806511, 0.6719632269622161, 0.6731684078492916, 0.6689285917354361, 0.6773197694877828, 0.6622960970587339, 0.6821207251449711, 0.6740590283745772, 0.6769158682694072]"
53,"[0.6683509891228395, 0.6705113852446657, 0.6785176989259061, 0.672448830756377, 0.6781705996208128, 0.6666565013190151, 0.6795221104897399, 0.6762094460054161, 0.6787598230152218, 0.6709222178911503]"
54,"[0.6760868200769151, 0.6729035260698354, 0.6712854798010877, 0.6810419654888104, 0.6647780187961272, 0.6772729391576692, 0.6656030418338472, 0.6780716407870081, 0.6712615027576716, 0.6819724093543593]"
55,"[0.6737296359985434, 0.6748663585241661, 0.6760606603711863, 0.6708734633740633, 0.6723368183380931, 0.6857574903499906, 0.6682729073921746, 0.6765054216413258, 0.6695059163733452, 0.6724624419048789]"
56,"[0.6682849185216964, 0.6728307850697712, 0.6687476533653349, 0.6781290297231708, 0.6753080313312815, 0.6823208065493919, 0.6752040940968619, 0.6698082180180777, 0.6742308149475914, 0.675288759365107]"
57,"[0.6600997929740571, 0.677376635502844, 0.6865985100585839, 0.6694010959351026, 0.677530600119425, 0.6791469177992827, 0.6726319317817248, 0.6724433769001895, 0.665466333945345, 0.6794406799085894]"
58,"[0.6723138619076461, 0.6761596401318573, 0.6709138754335786, 0.6745456404893193, 0.6815065269909766, 0.6744107965369002, 0.664165576415503, 0.6772211582833261, 0.6784890796427635, 0.6705604859222025]"
59,"[0.6783788304237309, 0.670133431823904, 0.6688513387096843, 0.6692619616389682, 0.6819503765432148, 0.6807791549160084, 0.6776179658567689, 0.6647995596538151, 0.6761461770789517, 0.6720948497868983]"
60,"[0.677930998778249, 0.6762252834845816, 0.6736574256747724, 0.6727877193991836, 0.6737665837517774, 0.6794367438700913, 0.6729507798683365, 0.6681889758703334, 0.6710258261882559, 0.674286177197379]"
61,"[0.6770029418091769, 0.6767031101472927, 0.6733604089681776, 0.6769258165375192, 0.6716815643727913, 0.665980551221355, 0.6776873749518696, 0.675286931883824, 0.6707354336212492, 0.6752826792987436]"
62,"[0.6669780558930722, 0.6773269147334691, 0.6737730612547651, 0.6790832229606655, 0.6662495289519189, 0.6734361648659846, 0.6799410405071955, 0.6759662597408457, 0.674366728744672, 0.6731845727816942]"
63,"[0.6745592363945403, 0.6699878458904736, 0.6831862413076152, 0.6768623576798574, 0.6705742142322562, 0.6749693445272862, 0.6689469327954268, 0.6819399942515388, 0.6647849604022307, 0.6742026421007815]"
64,"[0.6743305501739615, 0.6725438064830269, 0.6740796991687455, 0.6657701001762402, 0.672388821726975, 0.6774259666483784, 0.682778841977196, 0.6748285241898401, 0.6717885484960637, 0.6743159319830244]"
65,"[0.674877849319683, 0.6735434788686497, 0.6748977011685373, 0.6696169391003148, 0.6794785041727494, 0.6741157048097733, 0.6839845548404363, 0.6680784528370044, 0.6728357858637238, 0.6689588588438791]"
66,"[0.6702331242840651, 0.6697971905290007, 0.6742930097385359, 0.6705579599558996, 0.6803458322890913, 0.6688262892277913, 0.6847736193749929, 0.6781968370561271, 0.6707374802807248, 0.6722415757829722]"
67,"[0.6678892456543959, 0.6738834692875719, 0.6779412360525706, 0.6752350787279356, 0.6726978978575279, 0.6664012525968641, 0.6755283445160296, 0.6766154831106798, 0.6781038290553097, 0.6761658766845329]"
68,"[0.6751611970098453, 0.6728655014709943, 0.6714559221649306, 0.6735103597532643, 0.675402248451774, 0.6758752086981128, 0.6660560922733539, 0.6747947430351969, 0.6811977830875495, 0.6741875734809987]"
69,"[0.6691509304842924, 0.6770559088129022, 0.6707294194810438, 0.6770266230396651, 0.6767286981087571, 0.6763326603700314, 0.6748938457792238, 0.6642742872986052, 0.6792192092753855, 0.6750062563168413]"
